Date,Street,Rooms,m2,Floor,Serie,€/m2,Price
2025-01-09,Лубанас 17,2,30,1/2,Дов. дом,293,"8,780"
2025-01-09,Крустпилс 75,1,18,2/2,Спец. пр.,482,"8,680"
2025-01-09,Булту 3,3,78,3/9,467-я,987,"77,000"
2025-01-09,Вишкю 23,1,28,1/5,Лит. пр.,"1,321","37,000"
2025-01-09,Авиацияс 2F,2,45,5/5,Лит. пр.,"1,000","45,000"
2025-01-09,Латгалес 254,2,44,4/5,Лит. пр.,"1,216","53,500"
2025-01-09,Прушу 26,1,16,3/3,Рекон.,"1,656","26,500"
2025-01-09,Каниера 12,1,38,7/12,Спец. пр.,921,"35,000"
2025-01-09,Латгалес 250/8,2,45,5/5,Лит. пр.,822,"37,000"
2025-01-09,Прушу 3 k-3,1,32,3/5,Лит. пр.,"1,238","39,600"
2025-01-09,Визлас 4,1,27,3/5,Лит. пр.,"1,167","31,500"
2025-01-09,Локомотивес 62,2,51,5/5,Лит. пр.,765,"39,000"
2025-01-09,Латгалес 254-k1,2,44,5/5,Лит. пр.,702,"30,900"
2025-01-09,Прушу 19/2,2,42,4/4,Хрущ.,"1,190","50,000"
2025-01-09,Авиацияс 23k1,1,39,8/12,М. сем.,"1,154","45,000"
2025-01-09,Вишкю 19,4,62,5/5,Лит. пр.,710,"44,000"
2025-01-09,Латгалес 411,2,47,4/5,Лит. пр.,955,"44,900"
2025-01-09,Малтас 21,3,66,5/5,Лит. пр.,909,"60,000"
2025-01-09,Расас 4,2,39,5/5,Лит. пр.,769,"30,000"
2025-01-09,Латгалес 268 k-4,1,30,4/5,Хрущ.,917,"27,500"
2025-01-09,Аглонас 12,3,61,5/5,Хрущ.,966,"58,900"
2025-01-09,Латгалес 254/3,2,48,4/5,Лит. пр.,677,"32,500"
2025-01-09,Латгалес 385,1,30,1/3,Сталинка,933,"28,000"
2025-01-09,Локомотивес 80,2,45,5/5,Лит. пр.,622,"28,000"
2025-01-09,Каниера 10,2,36,1/5,Лит. пр.,"1,319","47,500"
