Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-09-15,Золитуде,Биезиня 9,4,89,5/10,119-я,79900
2025-09-15,центр,Тербатас 82a,2,59,1/6,Сталинка,89900
2025-09-15,центр,Тербатас 59/61,4,101,1/6,Рекон.,195000
2025-09-15,Иманта,Курземес пр. 26,3,74,2/12,Чеш. пр.,63000
2025-09-15,Тейка,Ропажу 5,2,53,1/5,Спец. пр.,53000
2025-09-15,Болдерая,Лемешу 2A,3,56,2/2,Спец. пр.,22000
2025-09-15,центр,Акас 8,2,75,2/7,Дов. дом,220000
2025-09-15,Межциемс,Бикерниеку 220,2,47,3/5,103-я,59800
2025-09-15,Вецрига,Вагнера 12,2,48,1/4,Дов. дом,139000
2025-09-15,Межциемс,Эйзенштейна 69,1,31,3/9,602-я,42000
2025-09-15,Агенскалнс,Лермонтова 4b,-,44,2/2,Дов. дом,42000
2025-09-15,центр,Райня бульв. 3,4,81,3/6,Рекон.,180000
2025-09-15,Агенскалнс,Мерсрага 5,2,35,1/2,Дов. дом,60000
2025-09-15,Зиепниеккалнс,Озолциема 36,1,45,8/9,М. сем.,45000
2025-09-15,Агенскалнс,Элвирас 12,3,60,1/5,Спец. пр.,80000
2025-09-15,Пурвциемс,Индуля 16,2,51,1/2,Ч. дом,68000
2025-09-15,Плявниеки,Сахарова 19,1,49,2/12,104-я,63000
2025-09-15,Болдерая,Стурманю 5,3,55,5/5,Лит. пр.,52000
2025-09-15,Кенгарагс,Латгалес 260 k-1,1,32,4/5,Лит. пр.,32000
2025-09-15,Тейка,Струпа 2,2,48,7/12,Чеш. пр.,59000
2025-09-15,Саркандаугава,Зиемелю 23,1,29,2/2,Рекон.,32000
2025-09-15,центр,Сканстес 29а,2,67,11/24,Нов.,180000
2025-09-15,центр,Стабу 61,2,55,4/5,Дов. дом,82000
2025-09-15,Агенскалнс,Слокас 38,1,28,2/2,Дов. дом,23000
2025-09-15,Тейка,Бривибас 146,4,85,3/5,Дов. дом,165000
2025-09-15,Дарзциемс,Румбулас 14,3,61,4/5,Нов.,143500
2025-09-15,центр,Сколас 20,3,113,4/5,Рекон.,400000
2025-09-15,Ильгюциемс,Реньгес 2,2,50,5/5,Лит. пр.,45000
2025-09-15,Берги,Бривибас 443,3,69,2/2,Сталинка,61000
2025-09-15,Саркандаугава,Саркандаугавас 2,1,34,3/5,103-я,27000
2025-09-15,Межапарк,Инчукална 2,3,78,3/4,Нов.,197000
2025-09-15,Кливерсала,Валгума 25,4,105,2/4,Рекон.,220000
2025-09-15,центр,Блауманя 28a,2,92,2/6,Рекон.,368000
2025-09-15,Агенскалнс,М. Нометню 95,3,49,2/3,Дов. дом,49300
2025-09-15,Плявниеки,Руденс 12,2,52,3/9,602-я,57000
2025-09-15,Торнякалнс,Лудвикя 2,3,90,3/4,Дов. дом,211500
2025-09-15,Золитуде,Лейиня 6,1,46,6/10,119-я,45000
2025-09-15,Югла,Вангажу 35,2,50,7/12,Чеш. пр.,58000
2025-09-15,Гризинькалнс,Терезес 8,1,29,3/5,Спец. пр.,40000
2025-09-15,центр,Дзирнаву 37,1,32,3/7,Нов.,90000
2025-09-15,центр,Гертрудес 10,3,86,5/5,Дов. дом,122000
2025-09-15,центр,Барона 69,1,37,2/3,Рекон.,97000
2025-09-15,Вецмилгравис,Мелидас 3/1,2,51,5/5,Лит. пр.,65000
2025-09-15,Иманта,Ригондас Г. 4,4,78,1/9,602-я,127000
2025-09-15,Пурвциемс,Стайцелес 11,4,74,1/9,602-я,57000
2025-09-15,Агенскалнс,М. Нометню 11,1,26,2/3,Дов. дом,17000
2025-09-15,центр,Рупниецибас 11,3,97,3/5,Рекон.,400000
2025-09-15,Кенгарагс,Булту 7,1,37,8/12,Спец. пр.,29000
2025-09-15,Гризинькалнс,Асара 15,3,67,1/4,Дов. дом,128000
2025-09-15,р-он,ул. Латгалес Ломоносова 2,1,40,3/4,Дов. дом,43000
2025-09-15,Золитуде,Русес 8,4,97,1/6,119-я,120000
2025-09-15,р-н,ул.Краста Латгалес 145,1,39,3/4,Дов. дом,43000
2025-09-15,Тейка,Джутас 13a,2,45,1/5,103-я,43000
2025-09-15,Вецаки,Пуйкулес 12,4,131,1/3,Нов.,240000
2025-09-15,Вецрига,Мейеровица бульв. 4,5,106,6/6,Дов. дом,179000
2025-09-15,р-н,ул.Краста Салацас 21,1,33,1/9,467-я,35000
2025-09-15,Биерини,Церес 8a,3,82,1/3,Нов.,169000
2025-09-15,Иманта,Анниньмуйжас 43,2,50,13/24,Нов.,95500
2025-09-15,Золитуде,Русес 4,2,58,7/7,119-я,56000
2025-09-15,Тейка,Кегума 52,2,63,3/5,Спец. пр.,85000
