Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-09-01,Пурвциемс,Жагату 20a,2,49,2/9,602-я,55000
2025-09-01,центр,Марияс 14,2,34,5/6,Рекон.,104160
2025-09-01,центр,Блауманя 17,2,79,5/5,Дов. дом,199000
2025-09-01,центр,Матиса 93,2,60,5/5,Дов. дом,69000
2025-09-01,Кенгарагс,Прушу 4,3,63,4/5,Нов.,113000
2025-09-01,р-он,ул. Латгалес Лудзас 56 b,3,64,6/6,Рекон.,88000
2025-09-01,Агенскалнс,Калнциема 42,3,87,1/3,Дов. дом,115000
2025-09-01,центр,Бривибас 181,2,42,5/5,Хрущ.,59000
2025-09-01,центр,Гертрудес 14,2,48,6/6,Дов. дом,95000
2025-09-01,Саркандаугава,Лимбажу 1B,1,25,2/2,Дов. дом,6000
2025-09-01,Кенгарагс,Латгалес 214,2,49,1/9,467-я,39200
2025-09-01,центр,Миленбаха 1,3,75,6/6,Рекон.,97500
2025-09-01,Кливерсала,Акменю 15,1,32,1/6,Дов. дом,25555
2025-09-01,Агенскалнс,Марупес 21,2,54,1/5,Спец. пр.,89000
2025-09-01,Зиепниеккалнс,Валдекю 17,2,49,1/5,Спец. пр.,59800
2025-09-01,Иманта,Бебербекю 10,4,107,2/2,Нов.,199000
2025-09-01,Югла,Тирзас 3,2,39,5/5,Хрущ.,54500
2025-09-01,Даугавгрива,Парадес 6,1,29,4/5,Спец. пр.,24500
2025-09-01,Дзегужкалнс,Даугавгривас 74,1,30,9/7,М. сем.,22000
2025-09-01,центр,Марияс 8A,2,55,2/5,Дов. дом,101935
2025-09-01,центр,Бривибас 111 k-5,3,68,1/5,Дов. дом,95000
2025-09-01,центр,11 ноября наб. 9,4,96,4/7,Нов.,350000
2025-09-01,Межциемс,Эйзенштейна 65/1,3,62,4/9,602-я,59999
2025-09-01,центр,Марияс 8A,4,112,4/5,Дов. дом,199800
2025-09-01,Пурвциемс,Пуцес 47,3,100,1/8,Нов.,165000
2025-09-01,Зиепниеккалнс,Озолциема 42,1,33,9/9,602-я,29000
2025-09-01,центр,Бривибас 46,2,60,5/6,Рекон.,217000
2025-09-01,Пурвциемс,Стирну 53,1,29,4/5,Лит. пр.,37800
2025-09-01,Плявниеки,Дравниеку 3 K-3,2,49,10/10,Нов.,111540
2025-09-01,центр,Виландес 3,2,123,5/5,Рекон.,198030
2025-09-01,Болдерая,Лиелупес 1/12,2,41,1/4,Хрущ.,31000
2025-09-01,Иманта,Клеисту X,4,127,3/6,Нов.,212000
2025-09-01,Агенскалнс,Ранькя Д. 31,1,38,4/4,Рекон.,68940
2025-09-01,Плявниеки,Дравниеку 3 K-3,1,29,3/10,Нов.,70136
2025-09-01,Зиепниеккалнс,Берзупес 13,3,57,1/5,Лит. пр.,52000
2025-09-01,центр,Матиса 45,2,50,6/7,Дов. дом,93000
2025-09-01,центр,Валдемара 123,3,110,6/6,Дов. дом,160000
2025-09-01,Кенгарагс,Каниера 17,2,40,1/3,Дов. дом,59000
2025-09-01,Торнякалнс,Апшу 4,2,40,2/3,Рекон.,91770
2025-09-01,р-он,ул. Латгалес Ерсикас 18,3,48,4/5,Рекон.,62140
2025-09-01,центр,Сколас 22a,4,114,5/6,Дов. дом,320000
2025-09-01,Межапарк,Хамбургас 16,4,113,2/3,Дов. дом,186450
2025-09-01,центр,Матиса 31,3,85,3/5,Дов. дом,170000
2025-09-01,Кенгарагс,Латгалес 413,2,44,5/5,Лит. пр.,34880
2025-09-01,Агенскалнс,Мелнсила 7,2,63,2/4,Рекон.,159000
2025-09-01,Тейка,Куршу 25А,2,48,1/3,Спец. пр.,42000
2025-09-01,центр,Катринас Д. 20k,2,41,4/5,Хрущ.,49500
2025-09-01,Даугавгрива,Бирзес 40,2,46,5/5,103-я,33000
2025-09-01,центр,Бруниниеку 87,2,42,4/4,Сталинка,51000
2025-09-01,Плявниеки,Дравниеку 1,3,71,2/10,Нов.,150000
2025-09-01,центр,Бруниниеку 121,1,27,1/4,Рекон.,58000
2025-09-01,Золитуде,Вецайнес 1,2,32,1/1,Ч. дом,29500
2025-09-01,центр,Экспорта 12,2,57,3/6,Рекон.,117000
2025-09-01,центр,Валдемара 106,3,90,4/8,Сталинка,198000
2025-09-01,центр,Дарзауглю 1,2,74,4/7,Нов.,136000
2025-09-01,Плявниеки,Дравниеку 3 K-3,3,65,3/10,Нов.,141776
2025-09-01,центр,Катринас Д. 6,2,47,2/3,Нов.,125000
2025-09-01,центр,Бирзниека-Упиша 13,3,78,2/7,Спец. пр.,220000
2025-09-01,Плявниеки,Дравниеку 3 K-3,2,49,9/10,Нов.,104081
2025-09-01,центр,Томсона 30,2,70,7/9,Нов.,200000
2025-09-01,центр,Валдемара 37a,4,145,4/6,Дов. дом,255000
2025-09-01,центр,Дайнас 10A,3,62,1/7,Нов.,176900
2025-09-01,Плявниеки,Дравниеку 3 K-3,3,69,6/10,Нов.,151993
2025-09-01,р-он,ул. Латгалес Лудзас 56,2,60,5/5,Дов. дом,90000
2025-09-01,Тейка,Кауказа 11,2,52,1/4,Нов.,165440
2025-09-01,Тейка,Кауказа 11,3,79,3/4,Нов.,251520
2025-09-01,Тейка,Кауказа 11,4,132,4/4,Нов.,421120
2025-09-01,центр,Авоту 16,2,49,1/2,Спец. пр.,52400
2025-09-01,Межциемс,Гайльэзера 13,3,87,4/9,Нов.,225000
2025-09-01,Саркандаугава,Аллажу 4,3,68,5/5,Рекон.,99900
2025-09-01,Межциемс,Эйзенштейна 65k1,3,62,4/9,602-я,60000
2025-09-01,центр,Марияс 1,3,80,3/6,Дов. дом,115000
2025-09-01,Кенгарагс,Икшкилес 18,2,37,3/5,Лит. пр.,37000
2025-09-01,Болдерая,Адмиралю 22,1,37,5/5,М. сем.,13700
2025-09-01,центр,Лачплеша 36,1,29,3/5,Рекон.,101500
2025-09-01,Торнякалнс,Берзупес 6,2,42,3/3,Хрущ.,53000
2025-09-01,Зиепниеккалнс,Берзупес 6,2,42,3/3,Хрущ.,53000
2025-09-01,Агенскалнс,Мелнсила 14,1,26,2/3,Рекон.,61100
2025-09-01,Агенскалнс,Ранькя Д. 34,4,133,14/22,Нов.,352000
2025-09-01,центр,Элизабетес 23a,5,155,1/5,Дов. дом,435000
2025-09-01,центр,Лачплеша 47,2,114,2/5,Дов. дом,195000
2025-09-01,Кенгарагс,Латгалес 266,1,34,5/5,Лит. пр.,25350
2025-09-01,Пурвциемс,Лиелвардес 123,2,50,5/5,Рекон.,68250
2025-09-01,центр,Валдемара 123,2,51,2/6,Дов. дом,97000
2025-09-01,Берги,Бривибас 446,4,186,3/3,Нов.,272000
2025-09-01,Югла,Бривибас 386 k. 2,3,63,4/6,Нов.,123500
2025-09-01,центр,Лабораторияс 7A,2,48,3/3,Дов. дом,60800
2025-09-01,Зиепниеккалнс,Валдекю 62,5,63,1/9,602-я,110000
2025-09-01,Иманта,Акацию 2F,3,76,2/9,Нов.,194240
2025-09-01,Иманта,Акацию 2F,4,78,2/9,Нов.,199590
2025-09-01,Агенскалнс,Кристапа 2,3,61,2/2,Рекон.,170000
2025-09-01,р-он,ул. Латгалес Католю 9k4,2,37,3/5,Дов. дом,37500
2025-09-01,Агенскалнс,Пукю 6,2,50,2/3,Рекон.,125000
2025-09-01,Агенскалнс,Даугавгривас 34,2,60,1/2,Спец. пр.,74000
2025-09-01,центр,Пулкв. Бриежа 17,3,70,3/8,Спец. пр.,300000
2025-09-01,центр,Бирзниека-Упиша 27,-,339,5/5,Рекон.,199800
2025-09-01,Агенскалнс,Ранькя Д. 31,3,54,2/4,Рекон.,159700
2025-09-01,Зиепниеккалнс,Ислицес 1,1,43,6/10,119-я,46500
2025-09-01,Агенскалнс,Ранькя Д. 31,1,37,2/4,Рекон.,111805
2025-09-01,Вецмилгравис,Вийолишу 6,1,43,3/5,М. сем.,38500
2025-09-01,центр,Меркеля 8,2,45,3/3,Спец. пр.,79500
2025-09-01,центр,Марияс 14A,1,20,6/6,Рекон.,66640
2025-09-01,центр,Лугажу 6,1,31,2/5,Лит. пр.,37000
