Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-03-25,Плявниеки,Каудзишу 24,4,76,4/9,602-я,62800
2025-03-25,центр,Рупниецибас 20,4,90,2/4,Рекон.,256000
2025-03-25,центр,Стабу 55,1,25,1/6,Дов. дом,17500
2025-03-25,центр,Менесс 22,3,60,2/4,Нов.,160000
2025-03-25,центр,11 ноября наб. 9,1,26,1/2,Дов. дом,25000
2025-03-25,Агенскалнс,Зелмайшу 15,2,44,3/6,Нов.,127100
2025-03-25,Тейка,Палму 11,1,33,2/7,Спец. пр.,55000
2025-03-25,Пурвциемс,Дзелзавас 104,2,42,7/7,Нов.,110100
2025-03-25,Биерини,Лиепаяс 37c,2,65,2/4,Нов.,167800
2025-03-25,центр,Базницас 13,1,18,1/5,Дов. дом,15701
2025-03-25,Дрейлини,Каивас 48A,2,47,5/6,Нов.,117300
2025-03-25,Пурвциемс,Дзелзавас 104,3,60,4/7,Нов.,151300
2025-03-25,центр,Бривибас 132,3,83,2/3,Дов. дом,130000
2025-03-25,центр,Бирзниека-Упиша 20a,1,16,3/7,Нов.,65500
2025-03-25,Агенскалнс,Зелмайшу 15,3,61,3/6,Нов.,159800
2025-03-25,Тейка,Вийциема 16,6,120,4/4,Сталинка,155000
2025-03-25,центр,Блауманя 6,3,120,5/5,Дов. дом,250000
2025-03-25,Агенскалнс,Зелмайшу 15,4,78,3/6,Нов.,205700
2025-03-25,Кенгарагс,Аглонас 2,2,52,3/12,Чеш. пр.,59000
2025-03-25,Югла,Юглас 1,3,82,2/2,Нов.,160000
2025-03-25,Югла,Бривибас 430,3,53,2/5,Спец. пр.,68000
2025-03-25,Кенгарагс,Латгалес 421,3,62,5/5,Лит. пр.,59900
2025-03-25,Пурвциемс,Ницгалес 4,3,61,2/9,602-я,80000
2025-03-25,Золитуде,Анниньмуйжас 4,2,57,9/16,104-я,65000
2025-03-25,Болдерая,Лемешу 2A,3,56,2/2,Спец. пр.,25900
2025-03-25,Золитуде,Золитудес 46,4,185,4/4,Нов.,224000
2025-03-25,центр,Дунтес 34,4,100,3/7,Нов.,254900
2025-03-25,центр,Дунтес 34,2,47,3/7,Нов.,114900
2025-03-25,Пурвциемс,Дзелзавас 104,3,61,6/8,Нов.,150100
2025-03-25,центр,Бривибас 183-1,3,74,5/6,Рекон.,142000
2025-03-25,центр,Валмиерас 28,2,59,5/5,Нов.,98000
2025-03-25,центр,Марияс 14A,1,19,6/6,Рекон.,65450
2025-03-25,центр,Латгалес 123,3,47,3/6,Рекон.,79000
2025-03-25,Кенгарагс,Латгалес 421,1,31,3/5,Лит. пр.,31500
2025-03-25,Агенскалнс,Алтонавас 9,1,33,2/2,Дов. дом,22000
2025-03-25,центр,Авоту 65a,1,20,1/2,Спец. пр.,18950
2025-03-25,Чиекуркалнс,Чиекуркална 7 п. л. 7A,2,31,2/4,Нов.,73470
2025-03-25,центр,Малпилс 9,5,211,3/3,Ч. дом,464864
2025-03-25,Плявниеки,Ясмуйжас 18-k-1,3,64,7/9,Нов.,117800
2025-03-25,Пурвциемс,Илукстес 107,3,78,3/9,467-я,120000
2025-03-25,Зиепниеккалнс,Биксту 6,3,86,5/6,Нов.,125000
2025-03-25,центр,Авоту 31,3,82,2/5,Дов. дом,106000
2025-03-25,Межциемс,Кайвас 50,2,49,3/6,Нов.,91205
2025-03-25,центр,Латгалес 123,3,47,2/6,Рекон.,79000
2025-03-25,центр,Авоту 16,2,49,1/2,Дов. дом,73000
2025-03-25,Плявниеки,Салнас 20,1,35,3/9,602-я,35000
2025-03-25,центр,Иерочу 6,2,33,1/2,Дов. дом,36700
2025-03-25,центр,Катринас Д. 27,3,114,1/11,Рекон.,262315
2025-03-25,центр,Катринас Д. 27,3,150,1/11,Рекон.,348299
2025-03-25,Плявниеки,Улброкас 7,3,75,5/12,104-я,88000
2025-03-25,Пурвциемс,Ницгалес 53,2,50,1/2,Хрущ.,57500
2025-03-25,центр,Клияну 22,2,43,2/8,Рекон.,27600
2025-03-25,Берги,Бергю 13,4,183,2/3,Спец. пр.,230000
2025-03-25,Пурвциемс,Бранткална 14,2,60,4/9,119-я,59500
2025-03-25,центр,Бруниниеку 119,1,25,3/4,Дов. дом,36500
2025-03-25,центр,Блауманя 29,2,48,6/6,Дов. дом,69500
2025-03-25,Гризинькалнс,Звайгжню 2,2,52,3/5,Дов. дом,63000
2025-03-25,Агенскалнс,Марупес 21,1,29,5/5,Спец. пр.,42000
2025-03-25,Агенскалнс,Ауглю 11,4,90,2/5,103-я,119000
2025-03-25,Кенгарагс,Латгалес 301,2,51,4/12,Чеш. пр.,50000
2025-03-25,Вецмилгравис,Каву 8,1,27,2/5,Лит. пр.,24000
2025-03-25,р-он,ул. Латгалес Ерсикас 21,3,57,4/6,Рекон.,89000
2025-03-25,центр,Матиса 101,1,14,1/5,Рекон.,29000
2025-03-25,Вецрига,М. Музея 1,2,46,1/5,Дов. дом,89000
2025-03-25,Вецрига,Смилшу 10,3,125,6/6,Рекон.,275000
2025-03-25,центр,Катринас Д. 27,3,78,11/12,Рекон.,187162
2025-03-25,центр,Сколас 20,3,112,2/5,Нов.,275000
2025-03-25,Агенскалнс,Мерсрага 9,2,50,4/4,Дов. дом,99000
2025-03-25,центр,Ганибу Д. 40A,1,31,3/3,Дов. дом,19500
2025-03-25,Саркандаугава,Целиниеку 12,3,60,2/3,Дов. дом,31000
2025-03-25,Болдерая,Лиелупес 64,2,48,5/5,Лит. пр.,38000
2025-03-25,Шкиротава,Крустпилс 46,2,47,2/2,Хрущ.,21000
2025-03-25,Кенгарагс,Крустпилс 46,2,47,2/2,Хрущ.,21000
2025-03-25,центр,Гертрудес 22,4,89,2/6,Дов. дом,275000
2025-03-25,Агенскалнс,Мукусалас 56,1,26,3/3,Рекон.,68300
2025-03-25,Тейка,Унияс 7A,2,25,1/2,Дов. дом,19500
2025-03-25,Биерини,Апгулдес 10,1,27,2/2,Дов. дом,16500
2025-03-25,Зиепниеккалнс,Стерсту 4,2,36,3/4,Нов.,89900
