Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-04-27,Агенскалнс,М. Нометню 24,2,42,2/5,Рекон.,154500
2025-04-27,Золитуде,Анниньмуйжас 20,3,73,3/7,Нов.,135000
2025-04-27,Плявниеки,Славу 23,3,61,2/9,467-я,68800
2025-04-27,Кенгарагс,Латгалес 260,2,46,1/5,Лит. пр.,58000
2025-04-27,центр,Бруниниеку 85,2,48,2/3,Рекон.,104720
2025-04-27,центр,Гертрудес 110,3,35,3/5,Дов. дом,52950
2025-04-27,Дзегужкалнс,Морица 20B,2,50,1/5,Лит. пр.,38900
2025-04-27,Мангали,Эзера 19,1,23,2/2,Дов. дом,16000
2025-04-27,Межциемс,Эйзенштейна 53,3,63,6/9,602-я,71200
2025-04-27,Клейсти,Ратсупитес 3,3,94,6/7,Нов.,150000
2025-04-27,Золитуде,Анниньмуйжас 3,3,78,7/9,119-я,86000
2025-04-27,центр,Ганибу Д. 15,1,34,2/6,Дов. дом,37350
2025-04-27,Золитуде,Биезиня 7,2,61,2/9,119-я,58000
2025-04-27,Болдерая,Лиелупес 60,3,54,5/5,Лит. пр.,34800
2025-04-27,Пурвциемс,Ницгалес 36a,2,49,1/5,Нов.,113800
2025-04-27,Агенскалнс,Марупес 8,1,26,3/4,Дов. дом,42000
2025-04-27,Плявниеки,Улброкас 14,1,44,3/5,М. сем.,37000
2025-04-27,Ильгюциемс,Креслера 5,1,30,3/4,Хрущ.,26000
2025-04-27,Югла,Мурьяню 56,2,43,4/5,Лит. пр.,45000
2025-04-27,Пурвциемс,Иерикю 26,2,46,2/2,Сталинка,61000
2025-04-27,р-н,ул.Краста Коюсалас 17,1,36,11/12,Чеш. пр.,45000
2025-04-27,Саркандаугава,Патверсмес 1k-1,3,93,3/3,Дов. дом,86000
2025-04-27,Тейка,Иерикю 26,2,46,2/2,Сталинка,61000
2025-04-27,Ильгюциемс,Реньгес 2B,3,68,2/5,Лит. пр.,55900
2025-04-27,Межциемс,Хипократа 19,1,32,1/9,602-я,34000
2025-04-27,Югла,Силциема 15/2,2,45,2/5,Лит. пр.,48000
2025-04-27,Плявниеки,Ю. Вациеша 6,1,34,2/9,467-я,30500
2025-04-27,центр,Дзирнаву 92,3,65,5/5,Дов. дом,155000
2025-04-27,Кенгарагс,Латгалес 266,1,38,5/5,Хрущ.,24350
2025-04-27,центр,Дзирнаву 157,1,89,4/4,Дов. дом,57700
2025-04-27,Пурвциемс,Раунас 37,2,44,2/5,Хрущ.,41800
2025-04-27,Ильгюциемс,Лидоню 7,3,54,5/5,Лит. пр.,37000
2025-04-27,Чиекуркалнс,Чиекуркална 3 п. л. 2,1,21,1/2,Дов. дом,12100
2025-04-27,Агенскалнс,Эрнестинес 8,2,46,1/5,Спец. пр.,65000
2025-04-27,Вецмилгравис,Мелидас 2,1,43,5/5,М. сем.,39000
2025-04-27,Зиепниеккалнс,Баускас 49,3,62,5/5,Лит. пр.,75123
2025-04-27,Тейка,Апес 12,2,53,3/5,103-я,77000
2025-04-27,Ильгюциемс,Лидоню 3a,2,49,5/5,Лит. пр.,49000
2025-04-27,Кенгарагс,Латгалес 268/2,2,48,5/5,Хрущ.,34000
2025-04-27,Кенгарагс,Латгалес 275,1,33,8/12,Чеш. пр.,38500
2025-04-27,Гризинькалнс,Пернавас 56,1,25,2/3,Дов. дом,27900
2025-04-27,Иманта,Курземес пр. 110,2,50,3/9,602-я,65000
2025-04-27,Кенгарагс,Икшкилес 5,4,74,4/12,Чеш. пр.,97000
2025-04-27,центр,Тербатас 42,4,93,3/5,Дов. дом,169000
2025-04-27,Саркандаугава,Тилта 5,2,57,2/4,Дов. дом,60500
2025-04-27,Золитуде,Лейиня 6,2,60,4/10,119-я,50000
2025-04-27,центр,Гертрудес 9,1,45,6/7,Дов. дом,68000
2025-04-27,центр,Катринас Д. 20/2,1,30,4/5,Хрущ.,42000
2025-04-27,Мангальсала,Тралеру 19k1,1,34,4/5,103-я,31000
2025-04-27,центр,Райня бульв. 3,6,193,2/6,Рекон.,386800
2025-04-27,Вецмилгравис,Эммас 28,1,17,1/5,Рекон.,26000
2025-04-27,центр,Лачплеша 129,3,74,3/5,Дов. дом,164000
2025-04-27,Агенскалнс,Пукю 7,2,71,1/2,Дов. дом,129000
2025-04-27,центр,Гертрудес 24,3,82,2/5,Дов. дом,163000
2025-04-27,Кенгарагс,Икшкилес 3,2,35,1/5,Хрущ.,40900
2025-04-27,Зиепниеккалнс,Валдекю 53,2,60,7/10,119-я,63000
2025-04-27,центр,Виландес 5,5,165,4/5,Дов. дом,350000
2025-04-27,Кенгарагс,Пелну 1,2,49,2/9,467-я,56000
2025-04-27,р-н,ул.Краста Дзервью 11,2,43,3/3,Хрущ.,36550
2025-04-27,центр,Brīvības 158,3,70,6/6,Дов. дом,76000
2025-04-27,Кенгарагс,Латгалес 258-6,1,32,2/5,Лит. пр.,32900
2025-04-27,Иманта,Клеисту 11,2,48,7/9,602-я,49900
2025-04-27,Агенскалнс,Зелмайшу 15,4,78,3/6,Нов.,205700
2025-04-27,Агенскалнс,Зелмайшу 15,2,44,3/6,Нов.,127100
2025-04-27,Агенскалнс,Зелмайшу 15,3,61,3/6,Нов.,159800
2025-04-27,Пурвциемс,Дзелзавас 104,3,60,5/7,Нов.,151300
2025-04-27,Пурвциемс,Дзелзавас 104,2,42,7/7,Нов.,110100
2025-04-27,Зиепниеккалнс,Озолциема 18,3,74,6/9,119-я,79500
2025-04-27,Плявниеки,Павасара г. 6,4,76,3/9,602-я,91000
2025-04-27,центр,Тимотея 1a,4,126,2/5,Дов. дом,144000
2025-04-27,Межциемс,Кайвас 50/4,1,38,5/5,Нов.,67000
2025-04-27,Саркандаугава,Виестура пр. 49,1,35,9/9,Спец. пр.,34500
2025-04-27,Ильгюциемс,Слокас 112,2,37,4/5,Лит. пр.,35900
2025-04-27,центр,Экспорта 3,4,100,1/5,Дов. дом,124000
2025-04-27,Болдерая,Гобас 31,2,38,5/5,Хрущ.,31500
2025-04-27,Дарзциемс,Куправас 41,3,98,3/5,Спец. пр.,139000
2025-04-27,центр,Лачплеша 51,4,120,6/6,Рекон.,200000
2025-04-27,Мангали,Морес 3,1,31,2/5,Лит. пр.,27000
2025-04-27,Тейка,Турайдас 4,2,43,5/5,Нов.,110000
2025-04-27,Агенскалнс,Весера 4A,3,46,1/2,Дов. дом,39500
2025-04-27,Золитуде,Анниньмуйжас 7,3,121,12/13,Нов.,239900
2025-04-27,Агенскалнс,Вилипа 3,3,56,1/2,Рекон.,115000
2025-04-27,Тейка,Унияс 37,1,36,3/5,Спец. пр.,39800
2025-04-27,Дарзциемс,Дарзциема 131,3,65,5/5,103-я,78000
2025-04-27,Мангали,Остас пр. 4-23,2,47,1/5,Лит. пр.,43500
2025-04-27,центр,Сколас 30,3,82,6/6,Дов. дом,135000
2025-04-27,центр,Стабу 55,1,10,1/5,Дов. дом,15500
2025-04-27,Иманта,Курземес пр. 58,2,50,4/5,Лит. пр.,71000
2025-04-27,Пурвциемс,Калснавас 2с,2,60,6/12,104-я,59000
2025-04-27,Аплокциемс,Бриежу 7,2,53,1/6,Нов.,105000
2025-04-27,центр,Валмиерас 28,2,59,5/5,Нов.,98000
2025-04-27,Югла,Малиенас 78,2,44,5/5,Лит. пр.,47500
2025-04-27,центр,Звайгжню 13,1,25,1/5,Дов. дом,42000
2025-04-27,центр,Гоголя 10,2,40,2/5,Дов. дом,67000
2025-04-27,центр,Тербатас 59/61,3,74,5/6,Рекон.,219000
2025-04-27,Пурвциемс,Пурвциема 24,2,58,1/9,119-я,50000
2025-04-27,Саркандаугава,Приежу 6,2,30,2/3,Дов. дом,34750
2025-04-27,центр,Сколас 36a,2,53,3/4,Дов. дом,139999
2025-04-27,Зиепниеккалнс,Валдекю 60,1,44,8/9,М. сем.,33000
2025-04-27,Плявниеки,Салнас 4,3,67,3/9,602-я,71500
2025-04-27,центр,Блауманя 26,3,85,5/5,Дов. дом,209000
2025-04-27,р-н,ул.Краста Салацас 3,1,22,2/2,Дов. дом,7950
2025-04-27,центр,Экспорта 10,3,68,3/5,Сталинка,139500
2025-04-27,Вецмилгравис,Стиебру 8,3,62,5/5,Лит. пр.,52000
