Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-06-19,Плявниеки,Ренцену 40,1,24,3/5,Рекон.,17500
2025-06-19,Зиепниеккалнс,Валдекю 60K3,2,50,6/9,602-я,59500
2025-06-19,Тейка,Структору 4a,3,69,1/5,Спец. пр.,87000
2025-06-19,Пурвциемс,Стирну 19A,2,45,2/5,Лит. пр.,44000
2025-06-19,Саркандаугава,Аптиекас 6,2,47,5/5,Сталинка,40000
2025-06-19,Плявниеки,Павасара г. 5,4,77,9/9,602-я,74000
2025-06-19,Аплокциемс,Чиекуру 11,2,49,2/2,Спец. пр.,57000
2025-06-19,Агенскалнс,Бариню 5B,1,22,1/3,Дов. дом,29500
2025-06-19,Пурвциемс,Пуцес 45,2,74,4/9,Нов.,125000
2025-06-19,Иманта,Даммес 1,1,37,9/9,602-я,58000
2025-06-19,Мангали,Чиекуру 11,2,49,2/2,Спец. пр.,57000
2025-06-19,центр,Виландес 5,3,105,5/6,Рекон.,205000
2025-06-19,Пурвциемс,Илукстес 109,3,63,6/9,602-я,75000
2025-06-19,Кенгарагс,Латгалес 214,2,49,1/9,467-я,40800
2025-06-19,Болдерая,Лиелупес 60,3,54,5/5,Лит. пр.,31500
2025-06-19,Пурвциемс,Дзелзавас 11k-2,2,44,5/5,Хрущ.,57000
2025-06-19,р-он,ул. Латгалес Даугавпилс 49,1,22,5/5,Дов. дом,21900
2025-06-19,Пурвциемс,Пурвциема 44,2,49,1/2,Сталинка,38500
2025-06-19,Дзегужкалнс,Усмас 17,2,49,4/5,Лит. пр.,59000
2025-06-19,Иманта,Слокас 130a,4,95,2/7,Нов.,230000
2025-06-19,центр,Чака 70,3,151,6/6,Дов. дом,299000
2025-06-19,центр,Гертрудес 9,5,168,3/7,Рекон.,314500
2025-06-19,Межапарк,Эзермалас 27,1,34,12/12,Спец. пр.,59000
2025-06-19,Вецрига,Театра 2,3,97,2/6,Нов.,275000
