Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-09-06,Пурвциемс,Унияс 71,3,64,2/9,Спец. пр.,85000
2025-09-06,Дзегужкалнс,Дзирциема 47,2,45,4/5,Лит. пр.,54000
2025-09-06,центр,Валдемара 119,3,76,4/5,Дов. дом,135000
2025-09-06,Зиепниеккалнс,Валдекю 50/2,2,51,6/9,602-я,54000
2025-09-06,Кенгарагс,Вишкю 1,3,61,8/9,602-я,65000
2025-09-06,Дзегужкалнс,Буллю 21,1,30,5/5,Хрущ.,28300
2025-09-06,Засулаукс,Слокас 21,1,30,5/5,Хрущ.,28300
2025-09-06,Ильгюциемс,Саулгожу 21,1,30,5/5,Хрущ.,28300
2025-09-06,Плявниеки,Ю. Вациеша 4,2,53,3/8,602-я,52500
2025-09-06,Кенгарагс,Латгалес 447,2,50,2/2,Сталинка,65000
2025-09-06,Золитуде,Биезиня 12,1,46,7/9,119-я,50000
2025-09-06,Саркандаугава,Твайка 54/1,2,42,3/5,Хрущ.,48555
2025-09-06,р-он,ул. Латгалес Лудзас 56B,3,52,4/5,Рекон.,72800
2025-09-06,Плявниеки,Ю. Вациеша 12,2,50,3/9,602-я,55500
2025-09-06,Плявниеки,Салнас 12,1,31,1/9,602-я,35000
2025-09-06,центр,Иерочу 6,1,16,1/2,Дов. дом,10370
2025-09-06,р-он,ул. Латгалес М. Лубанас 17,1,28,1/2,Дов. дом,5570
2025-09-06,центр,Гертрудес 73B,1,40,2/2,Дов. дом,15990
2025-09-06,Мангали,Остас пр. 4,2,47,3/5,Хрущ.,40000
2025-09-06,центр,Бривибас 160,1,20,2/6,Дов. дом,28000
2025-09-06,Зиепниеккалнс,Баускас 49A,3,53,3/5,Нов.,115000
2025-09-06,Ильгюциемс,Дзирциема 89,2,49,1/5,Лит. пр.,80000
2025-09-06,Тейка,Ропажу 93,1,34,2/2,Дов. дом,28500
2025-09-06,Дарзциемс,Ситас 48,1,42,3/5,М. сем.,58500
2025-09-06,центр,Лачплеша 62,2,54,1/5,Дов. дом,41900
2025-09-06,Кенгарагс,Латгалес 447,2,53,2/2,Сталинка,78999
2025-09-06,Плявниеки,Каудзишу 42,3,63,5/9,602-я,82000
2025-09-06,Пурвциемс,Стайцелес 15,4,76,9/9,602-я,53000
2025-09-06,Кенгарагс,Латгалес 256,2,46,3/5,Лит. пр.,51000
2025-09-06,Югла,Велдрес 1,2,47,2/5,Лит. пр.,41000
2025-09-06,Золитуде,Анниньмуйжас 7,3,121,12/13,Нов.,233000
2025-09-06,Агенскалнс,Номалес 7,1,30,1/5,Хрущ.,32000
2025-09-06,Пурвциемс,Марциенас 1,3,74,4/9,119-я,69000
2025-09-06,центр,Дзирнаву 3,3,73,1/6,Дов. дом,160000
2025-09-06,центр,Виландес 12,3,105,5/6,Рекон.,229000
2025-09-06,Шампетерис-Плескодале,Лиелирбес 9a,2,45,3/4,Рекон.,103500
2025-09-06,Шампетерис-Плескодале,Лиелирбес 9a,3,47,2/4,Рекон.,119500
2025-09-06,Иманта,Зентенес 18,3,62,5/9,602-я,55000
2025-09-06,Даугавгрива,Слимницас 5,2,46,2/5,103-я,29000
2025-09-06,центр,Бирзниека-Упиша 29,3,77,2/5,Рекон.,115000
2025-09-06,центр,Рупниецибас 44,3,76,6/7,Нов.,210000
2025-09-06,Кенгарагс,Крустпилс 73,1,18,2/3,М. сем.,15500
2025-09-06,Плявниеки,Улброкас 10,1,43,2/5,М. сем.,58000
2025-09-06,р-он,ул. Латгалес Лудзас 42,2,46,3/5,Хрущ.,36000
2025-09-06,Югла,Видземес 7,2,48,4/12,Чеш. пр.,62000
2025-09-06,Саркандаугава,Саркандаугавас 26,2,39,4/5,Хрущ.,38000
2025-09-06,Межапарк,Виестура пр. 95,2,40,7/10,Нов.,105000
2025-09-06,р-н,ул.Краста Огрес 14,4,72,1/9,467-я,67000
2025-09-06,Золитуде,Анниньмуйжас 2B,4,92,1/1,119-я,73900
2025-09-06,Вецмилгравис,Балтасбазницас 23,2,32,2/4,М. сем.,33000
2025-09-06,Шампетерис-Плескодале,Залвес 42,2,47,3/3,Хрущ.,59000
2025-09-06,Югла,Квелес 25,2,45,1/5,Лит. пр.,57000
2025-09-06,Золитуде,Золитудес 34,2,57,14/16,104-я,74000
2025-09-06,Шампетерис-Плескодале,Ирлавас 24,5,120,5/5,103-я,129900
2025-09-06,Саркандаугава,Хапсалас 5,1,88,4/5,Спец. пр.,136000
2025-09-06,центр,Калниня 6,3,88,2/5,Рекон.,220000
2025-09-06,Зиепниеккалнс,Кекавас 5,2,53,3/5,103-я,51000
2025-09-06,Агенскалнс,Лиелирбес 9A,2,42,2/4,Нов.,107000
2025-09-06,центр,Индрану 21,5,175,4/4,Дов. дом,42000
2025-09-06,Межциемс,Хипократа 17,2,51,1/9,602-я,70000
2025-09-06,Болдерая,Гобас 24,1,33,3/5,103-я,32500
2025-09-06,Агенскалнс,Елгава 88,3,60,2/5,Дов. дом,82000
2025-09-06,Тейка,Бривибас 201,2,50,2/5,Нов.,101900
2025-09-06,Тейка,Бривибас 201,3,65,2/5,Нов.,169500
2025-09-06,Тейка,Бривибас 201,2,52,3/5,Нов.,149900
2025-09-06,Тейка,Бривибас 201,2,50,2/5,Нов.,101900
2025-09-06,Тейка,Бривибас 201,3,84,2/5,Нов.,165900
2025-09-06,центр,Ганибу Д. 40a,2,45,2/3,Дов. дом,24299
2025-09-06,центр,Бруниниеку 102A,1,32,3/3,Дов. дом,35000
2025-09-06,центр,Дзирнаву 3А,3,53,1/5,Дов. дом,120900
2025-09-06,Торнякалнс,Тадайкю 1,3,62,4/5,Лит. пр.,54200
2025-09-06,Зиепниеккалнс,Тадайкю 1,3,62,4/5,Лит. пр.,54200
2025-09-06,Кенгарагс,Вишкю 23,3,61,4/5,Лит. пр.,46500
2025-09-06,центр,Алаукста 16,1,33,5/5,103-я,42000
2025-09-06,Чиекуркалнс,Чиекуркална 4 п. л. 12,1,39,5/12,Лит. пр.,40000
2025-09-06,Дарзциемс,Ницгалес 46 k1,2,57,2/5,103-я,67000
2025-09-06,Дзегужкалнс,Даугавгривас 56,3,58,6/9,467-я,71400
2025-09-06,Зиепниеккалнс,Озолциема 16k2,4,95,5/9,119-я,126000
2025-09-06,Агенскалнс,Марупес 15 A,2,54,4/5,Сталинка,98000
2025-09-06,р-н,ул.Краста Плявиню 15,2,48,7/9,602-я,53500
2025-09-06,центр,Тербатас 59/61,1,20,1/6,Рекон.,50000
2025-09-06,Кенгарагс,Латгалес 256/5,3,62,5/5,Хрущ.,70000
2025-09-06,Агенскалнс,Крузес 47,1,35,1/2,Сталинка,59990
2025-09-06,центр,Рупниецибас 32,3,117,5/6,Дов. дом,375000
2025-09-06,Зиепниеккалнс,Кометас 20,4,141,4/4,Нов.,289000
2025-09-06,Шампетерис-Плескодале,Лиелирбес 15,3,84,3/30,Нов.,198340
2025-09-06,Кенгарагс,"Прушу 3 k-2,",3,62,5/5,Лит. пр.,47600
2025-09-06,Югла,Мурьяню 40,2,43,3/5,Хрущ.,49500
2025-09-06,Дрейлини,Валтера 46,3,71,2/5,Нов.,129500
2025-09-06,центр,Госпиталю 8,6,160,1/7,Спец. пр.,241000
2025-09-06,центр,Госпиталю 38,2,47,6/6,Рекон.,100000
2025-09-06,Ильгюциемс,Спилвес 5b,3,47,2/2,Спец. пр.,68000
2025-09-06,центр,Дзирнаву 53,2,38,2/6,Рекон.,155500
2025-09-06,Вецрига,Грециниеку 11,2,54,4/6,Дов. дом,154000
2025-09-06,Межапарк,Гауяс 63,1,19,1/4,Нов.,41525
2025-09-06,центр,Валдемара 39,5,151,3/6,Дов. дом,249500
2025-09-06,центр,Стругу 3,4,130,3/4,Дов. дом,138000
2025-09-06,Золитуде,Анниньмуйжас 20,3,81,2/4,Нов.,156000
2025-09-06,Плявниеки,Дравниеку 4,1,42,6/12,104-я,45000
2025-09-06,Плявниеки,Сахарова 5,2,50,4/9,602-я,57000
2025-09-06,Кенгарагс,Прушу 19,1,31,4/4,Хрущ.,35000
2025-09-06,Дзегужкалнс,М. Стацияс 22,2,45,3/5,Лит. пр.,40000
2025-09-06,Саркандаугава,Тилта 11k1,2,44,3/5,Хрущ.,45000
2025-09-06,Дарзциемс,Трасуна 17,3,62,1/5,Нов.,151300
2025-09-06,Югла,Юглас 1,2,45,3/5,Лит. пр.,39000
2025-09-06,Берги,Яунибас 11,4,144,3/3,Нов.,175000
2025-09-06,Дрейлини,Валтера 1,2,50,1/9,Нов.,113100
2025-09-06,Дрейлини,Валтера 1A,3,78,3/4,Нов.,173600
2025-09-06,Дрейлини,Валтера 1A,3,67,4/4,Нов.,161800
2025-09-06,Ильгюциемс,Даугавгривас 132k2,2,52,5/5,Сталинка,70000
2025-09-06,Межциемс,Веца Бикерниеку 35,3,85,2/4,Нов.,179000
2025-09-06,Дарзциемс,Трасуна 17,2,50,2/5,Нов.,119100
2025-09-06,Саркандаугава,Саркандаугавас 26 к-4,2,42,2/5,Хрущ.,38500
2025-09-06,Дарзциемс,Трасуна 17,3,62,5/5,Нов.,156500
2025-09-06,Пурвциемс,Калснавас 2,1,43,1/9,119-я,45400
2025-09-06,центр,Републикас пл. 3,3,100,6/9,Нов.,237000
2025-09-06,Дарзциемс,Трасуна 17,2,48,1/5,Нов.,113100
2025-09-06,Тейка,Буртниеку 35,1,12,4/4,Хрущ.,27750
2025-09-06,Дарзциемс,Трасуна 17,4,87,3/5,Нов.,208200
2025-09-06,Саркандаугава,Аптиекас 8,1,37,3/5,Сталинка,32000
2025-09-06,Брекши,Бикерниеку 228,1,39,3/5,Спец. пр.,34900
2025-09-06,Югла,Силциема 15 k-5,2,46,1/5,Хрущ.,37500
2025-09-06,Саркандаугава,Патверсмес 5,2,44,3/5,Дов. дом,37000
2025-09-06,Шампетерис-Плескодале,Апузес 28,5,158,1/1,Нов.,215000
