Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-03-05,Плявниеки,Ю. Вациеша 2C,3,68,12/16,Спец. пр.,89800
2025-03-05,Тейка,Ропажу 5,1,30,5/5,Спец. пр.,52000
2025-03-05,Дрейлини,Каивас 48A,3,66,2/6,Нов.,144500
2025-03-05,Плявниеки,Илукстес 6,1,43,1/5,М. сем.,29000
2025-03-05,Межциемс,Кайвас 48A,2,49,1/6,Нов.,106300
2025-03-05,центр,Антонияс 22,3,93,1/6,Дов. дом,185000
2025-03-05,центр,Меркеля 8,4,115,5/5,Дов. дом,170000
2025-03-05,р-он,ул. Латгалес Латгалес 108,2,56,6/6,Дов. дом,59850
2025-03-05,Зиепниеккалнс,Ислицес 14,1,34,3/12,Спец. пр.,50000
2025-03-05,Гризинькалнс,Звайгжню 13,1,25,1/5,Дов. дом,42000
2025-03-05,Вецмилгравис,Ринужу 22,2,55,4/5,103-я,45000
2025-03-05,р-он,ул. Латгалес Латгалес 140,1,36,3/4,Рекон.,72500
2025-03-05,Кенгарагс,Крустпилс 73 k-3,1,12,1/3,М. сем.,12800
2025-03-05,Чиекуркалнс,Саулкрасту 2 k-1,1,17,1/2,Сталинка,14500
2025-03-05,центр,Бривибас 39A,3,80,6/7,Дов. дом,235000
2025-03-05,Зиепниеккалнс,Баускас 101c,3,56,1/1,Дов. дом,39800
2025-03-05,Тейка,Буртниеку 1,2,41,3/5,Рекон.,86000
2025-03-05,Ильгюциемс,Вайделотес 28,2,43,5/6,Хрущ.,65580
2025-03-05,центр,Барона 92,5,235,1/4,Дов. дом,155000
2025-03-05,Агенскалнс,Зелмайшу 15,2,53,6/6,Нов.,138900
2025-03-05,центр,Элку 4,2,48,5/6,Рекон.,113000
2025-03-05,Агенскалнс,Зелмайшу 15,3,70,1/5,Нов.,148700
2025-03-05,центр,Бривибас 129,3,60,4/6,Рекон.,93500
2025-03-05,Зиепниеккалнс,Озолциема 30,1,44,1/9,М. сем.,33000
2025-03-05,Болдерая,Финиера 17,1,40,8/9,Спец. пр.,31700
2025-03-05,центр,Стабу 29,2,48,5/6,Дов. дом,135000
2025-03-05,центр,Стабу 29,3,82,3/5,Дов. дом,135000
2025-03-05,Межапарк,Эзермалас 4,2,20,2/5,Рекон.,34380
2025-03-05,Дарзциемс,Ситас 2,2,55,5/5,103-я,44000
2025-03-05,Плявниеки,Тинужу 1A,2,44,1/5,Нов.,89900
2025-03-05,центр,Бруниниеку 89,6,300,5/5,Дов. дом,49000
2025-03-05,центр,Лабораторияс 3,2,60,1/5,Рекон.,119300
2025-03-05,Вецмилгравис,Сармас 7,3,63,5/9,602-я,60000
2025-03-05,центр,Валдемара 123,3,120,2/6,Дов. дом,150000
2025-03-05,Агенскалнс,Зелмайшу 15,2,46,4/6,Нов.,133700
2025-03-05,Кенгарагс,Е. Ранцана 8,1,30,3/5,Лит. пр.,22000
2025-03-05,центр,Чака 45,2,58,2/3,Рекон.,85000
2025-03-05,центр,Тербатас 42,4,93,3/5,Дов. дом,179000
2025-03-05,Чиекуркалнс,Эзермалас 4,2,33,5/5,Рекон.,46092
2025-03-05,центр,Гану 6,4,100,2/7,Дов. дом,350000
2025-03-05,центр,Красотаю 6C,3,87,3/4,Нов.,134550
2025-03-05,центр,Валдемара 57/59,5,109,4/7,Дов. дом,245000
2025-03-05,центр,Матиса 101,3,36,2/5,Рекон.,83900
2025-03-05,Шампетерис-Плескодале,Лиелирбес 11,2,69,13/26,Нов.,130000
2025-03-05,Вецрига,Пелду 24,2,47,4/4,Рекон.,117000
2025-03-05,Вецрига,Пелду 24,2,51,4/4,Рекон.,115000
2025-03-05,Вецрига,Пелду 24,3,76,4/4,Рекон.,146000
2025-03-05,центр,Чака 63,4,90,1/5,Дов. дом,96000
2025-03-05,Межапарк,Кемпес 2A,2,35,4/12,Нов.,106000
2025-03-05,Кенгарагс,Глудас 11,2,44,2/5,Хрущ.,45000
2025-03-05,Межапарк,Кемпес 2A,2,46,3/12,Нов.,122000
2025-03-05,Югла,Мурьяню 153,3,80,2/4,Нов.,180000
2025-03-05,Межапарк,Кемпес 2,2,37,10/12,Нов.,118000
2025-03-05,центр,Экспорта 16,1,31,1/5,Хрущ.,30000
2025-03-05,Чиекуркалнс,Саулкрасту 2,1,16,2/2,Дов. дом,10900
2025-03-05,Югла,Мурьяню 151,2,44,3/4,Нов.,100000
2025-03-05,Югла,Мурьяню 151,3,81,2/4,Нов.,178000
2025-03-05,Югла,Страздмуйжас 14,2,49,2/4,Нов.,107500
2025-03-05,центр,Латгалес 69,2,55,3/5,Дов. дом,65700
2025-03-05,Зиепниеккалнс,Ливциема 49,2,52,9/9,602-я,42500
2025-03-05,Зиепниеккалнс,Озолциема 18,4,93,9/9,119-я,97000
2025-03-05,Плявниеки,Павасара г. 1,3,62,8/9,602-я,50000
2025-03-05,центр,Лачплеша 52,3,56,2/5,Дов. дом,75000
2025-03-05,Агенскалнс,Зелмайшу 15,2,45,5/6,Нов.,132800
2025-03-05,центр,Дзирнаву 159a,2,38,1/4,Дов. дом,33800
2025-03-05,Тейка,Бривибас 209,2,31,5/5,Дов. дом,46900
2025-03-05,Биерини,Лиепаяс 37c,3,69,1/4,Нов.,163600
2025-03-05,Югла,Бривибас 371,2,44,2/5,Хрущ.,38900
2025-03-05,Тейка,Бривибас 229,1,29,5/5,Сталинка,26500
2025-03-05,Тейка,Бривибас 371,2,44,2/5,Хрущ.,38900
2025-03-05,Биерини,Лиепаяс 37c,3,69,4/4,Нов.,181000
2025-03-05,Саркандаугава,Приежу 9,1,18,2/2,Дов. дом,15500
2025-03-05,Пурвциемс,Дзелзавас 104,3,64,8/8,Нов.,158400
2025-03-05,Золитуде,Биезиня 3,3,81,8/10,119-я,69000
2025-03-05,Болдерая,Силикату 1,1,32,4/4,Хрущ.,19000
2025-03-05,Иманта,Анниньмуйжас 41,3,94,8/21,Нов.,190000
2025-03-05,Агенскалнс,Слокас 59,1,45,4/7,Нов.,81000
2025-03-05,Межапарк,Либекас 21,3,80,2/3,Рекон.,256000
2025-03-05,Торнякалнс,Баускас 15,1,43,2/5,М. сем.,38900
2025-03-05,Зиепниеккалнс,Баускас 15,1,43,2/5,М. сем.,38900
