Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-10-20,Зиепниеккалнс,Баускас 73/2,3,54,3/5,Спец. пр.,70000
2025-10-20,Межциемс,Хипократа 43,1,31,6/9,602-я,34000
2025-10-20,Зиепниеккалнс,Озолциема 8,1,30,4/12,Спец. пр.,33000
2025-10-20,Агенскалнс,Лиелирбес 9A,1,24,1/4,Нов.,61500
2025-10-20,Ильгюциемс,Твайконю 2,2,45,1/3,Дов. дом,25000
2025-10-20,Пурвциемс,Ницгалес 20,1,31,2/5,Лит. пр.,46000
2025-10-20,Чиекуркалнс,Русова 7,3,72,3/5,Нов.,169000
2025-10-20,центр,Томсона 23,1,25,3/5,Хрущ.,48000
2025-10-20,Иманта,Анниньмуйжас 38/1,1,49,10/18,Нов.,85500
2025-10-20,Вецрига,Скарню 9,3,80,4/6,Рекон.,250000
2025-10-20,Закюсала,Закюсалас наб. 27,1,28,2/3,Нов.,75200
2025-10-20,Закюсала,Закюсалас наб. 27,2,55,2/3,Нов.,158500
2025-10-20,Закюсала,Закюсалас наб. 27,1,34,2/3,Нов.,92500
2025-10-20,Закюсала,Закюсалас наб. 27,3,70,2/3,Нов.,187000
2025-10-20,Закюсала,Закюсалас наб. 27,3,59,2/3,Нов.,165000
2025-10-20,Плявниеки,Дзеню 12,3,64,2/9,602-я,83500
2025-10-20,Плявниеки,Ясмуйжас 18k1,3,89,4/10,Нов.,165000
2025-10-20,Иманта,Курземес пр. 56,3,54,5/5,Лит. пр.,45000
2025-10-20,Агенскалнс,Агенскална 41A,2,62,5/5,Лит. пр.,78000
2025-10-20,Пурвциемс,Марциенас 2,1,43,6/9,119-я,37500
2025-10-20,Агенскалнс,Бишу 17,1,34,2/3,Дов. дом,21000
2025-10-20,Пурвциемс,Дзелзавас 82,3,67,5/5,Лит. пр.,110000
2025-10-20,Ильгюциемс,Саулгожу 19,1,29,4/5,Хрущ.,28500
2025-10-20,Агенскалнс,Лиелирбес 9a,1,24,1/4,Рекон.,61500
2025-10-20,Иманта,Думбрая 18 k-1,3,70,3/4,Спец. пр.,158000
2025-10-20,Агенскалнс,Лиелирбес 9a,1,26,1/4,Рекон.,68500
2025-10-20,центр,Барона 70,3,58,2/3,Дов. дом,92000
2025-10-20,Иманта,Даммес 24,2,49,5/5,Лит. пр.,42900
2025-10-20,Межапарк,Хамбургас 16,4,113,2/3,Дов. дом,186450
2025-10-20,центр,Звайгжню 2,2,52,3/5,Дов. дом,59888
2025-10-20,Агенскалнс,Елгава 65,2,40,2/4,Рекон.,108000
2025-10-20,Пурвциемс,Вайдавас 2 k-5,2,41,5/5,Хрущ.,32000
2025-10-20,Агенскалнс,Пукю 6,3,63,1/3,Рекон.,159777
2025-10-20,центр,Элизабетес 12,1,50,5/5,Рекон.,115750
2025-10-20,центр,Пулкв. Бриежа 15,2,44,2/7,Рекон.,130500
2025-10-20,центр,Петерсалас 4,2,31,4/4,Дов. дом,45000
2025-10-20,Агенскалнс,Ранькя Д. 34,4,110,13/22,Нов.,393000
2025-10-20,центр,Базницас 45,6,170,3/6,Дов. дом,297000
2025-10-20,Агенскалнс,Ранькя Д. 34,5,170,16/23,Нов.,588888
2025-10-20,центр,Бривибас 46,2,62,3/6,Рекон.,253000
2025-10-20,Югла,Бривибас 430,3,53,2/5,Спец. пр.,67000
2025-10-20,центр,Блауманя 11/13,5,128,2/5,Дов. дом,250000
2025-10-20,Югла,Малиенас 74,2,45,2/5,Лит. пр.,47000
2025-10-20,Яунциемс,Яунциема Г. 145,2,40,1/2,Сталинка,38500
2025-10-20,центр,Барона 60,2,64,1/3,Дов. дом,79000
2025-10-20,Иманта,Думбрая 29,3,76,1/7,Нов.,219000
2025-10-20,центр,Бирзниека-Упиша 27,5,121,3/6,Рекон.,159000
2025-10-20,Агенскалнс,Элвирас 12,3,60,1/5,Спец. пр.,80000
2025-10-20,центр,Висвалжа 3,2,48,2/5,Дов. дом,52000
2025-10-20,Межциемс,Гайльэзера 5,3,87,4/9,Нов.,210000
2025-10-20,центр,Райня бульв. 3A,4,81,3/6,Дов. дом,165000
2025-10-20,центр,Клуса 20,1,37,2/9,Рекон.,48000
2025-10-20,центр,Лачплеша 109,2,49,1/4,Дов. дом,46000
2025-10-20,Югла,Мурьяню 155,2,50,3/4,Нов.,140000
2025-10-20,центр,Ганибу Д. 13,2,54,5/6,103-я,63000
2025-10-20,Кенгарагс,Локомотивес 90,4,61,4/5,Лит. пр.,59800
2025-10-20,центр,Пулкв. Бриежа 8,4,98,6/6,Рекон.,230000
2025-10-20,Иманта,Анниньмуйжас 38/4K,3,74,10/18,Нов.,137000
2025-10-20,Кундзиньсала,Кундзиньсалас 7 п. л.,2,40,1/2,Ч. дом,22500
2025-10-20,Кенгарагс,Латгалес 417,2,50,7/9,467-я,53990
2025-10-20,Торнякалнс,Даудзесес 2,1,27,2/2,Дов. дом,12500
2025-10-20,р-он,ул. Латгалес Ломоносова 7,2,53,4/4,Сталинка,52600
2025-10-20,Пурвциемс,Иерикю 58,3,61,5/9,Спец. пр.,85000
2025-10-20,Шампетерис-Плескодале,Апузес 28,5,158,1/1,Нов.,215000
2025-10-20,центр,Катринас Д. 27,2,58,9/11,Спец. пр.,135540
2025-10-20,Кенгарагс,Латгалес 153,1,30,2/2,Дов. дом,20000
2025-10-20,Кенгарагс,Расас 5 A,2,73,1/5,Нов.,95000
2025-10-20,Ильгюциемс,Балта 2,2,50,3/3,Хрущ.,41900
2025-10-20,Ильгюциемс,Даугавгривас 70,3,58,1/5,Спец. пр.,51000
2025-10-20,Кенгарагс,Латгалес 258,3,60,5/5,Лит. пр.,47500
2025-10-20,центр,Стабу 45,2,42,1/5,Дов. дом,33999
2025-10-20,центр,Чака 108,2,48,2/3,Дов. дом,58000
2025-10-20,Саркандаугава,Какясекля Д. 20,1,30,1/3,Дов. дом,20000
2025-10-20,Ильгюциемс,Лидоню 1,2,63,3/3,Сталинка,77000
2025-10-20,Шампетерис-Плескодале,Лиелирбес 13,3,93,7/30,Нов.,165000
2025-10-20,р-он,ул. Латгалес Католю 29,2,38,4/6,Рекон.,85360
2025-10-20,Саркандаугава,Зиемелю 20,1,37,5/5,Рекон.,36500
2025-10-20,Пурвциемс,Дудаева Г. 9,2,110,5/6,Нов.,155000
2025-10-20,Ильгюциемс,Риексту 19,3,67,1/5,Лит. пр.,74000
2025-10-20,Гризинькалнс,Лиенес 27,1,24,2/2,Дов. дом,15000
2025-10-20,р-н,ул.Краста Лубанас 8,4,80,4/9,467-я,74900
2025-10-20,Кенгарагс,Латгалес 279 k-1,3,61,4/5,Лит. пр.,55500
2025-10-20,центр,Звайгжню 31,1,31,2/3,Дов. дом,29000
2025-10-20,Тейка,Палму 14,3,57,5/5,Хрущ.,78000
2025-10-20,Даугавгрива,Парадес 7,2,55,2/5,103-я,37100
2025-10-20,Вецрига,Калею 74,6,104,1/4,Нов.,250000
2025-10-20,центр,Сколас 17,4,136,6/6,Нов.,491959
2025-10-20,Югла,Бривибас 450,2,85,1/2,Спец. пр.,143500
2025-10-20,Берги,Лауву 22,2,85,1/2,Спец. пр.,143500
2025-10-20,Вецмилгравис,Калнгалес 8,1,36,2/9,Спец. пр.,23900
2025-10-20,Тейка,Раунас 39,2,43,3/5,Хрущ.,63000
2025-10-20,центр,Сколас 20,3,113,4/5,Рекон.,400000
2025-10-20,Агенскалнс,Ранькя Д. 31,2,32,1/4,Рекон.,57780
2025-10-20,центр,Чака 78B,1,22,3/4,Нов.,59500
2025-10-20,Ильгюциемс,Риексту 15,2,50,2/5,Лит. пр.,45000
2025-10-20,центр,Чака 78B,2,56,4/4,Нов.,151200
2025-10-20,р-он,ул. Латгалес Латгалес 173,1,26,2/2,Дов. дом,15900
2025-10-20,центр,Чака 78B,1,31,4/4,Нов.,84000
2025-10-20,Кенгарагс,Локомотивес 38,2,49,5/5,Лит. пр.,33000
2025-10-20,центр,Антонияс 17A,4,114,4/6,Нов.,649000
2025-10-20,центр,Госпиталю 16,2,47,2/5,Хрущ.,79900
2025-10-20,Югла,Скрудалиенас 6,4,100,2/2,Нов.,216000
2025-10-20,центр,Бривибас 72,4,108,3/6,Дов. дом,230000
2025-10-20,Кенгарагс,Латгалес 313,1,33,5/12,М. сем.,33000
2025-10-20,Межциемс,Веца Бикерниеку 19,3,85,2/4,Нов.,168000
2025-10-20,Шампетерис-Плескодале,Юркалнес 41,3,73,3/3,Нов.,172000
2025-10-20,Вецмилгравис,Ванадзиня Г. 7,2,51,3/5,Лит. пр.,37800
2025-10-20,Югла,Бривибас 418,2,52,3/4,Сталинка,120000
2025-10-20,центр,Марияс 8A,2,55,2/5,Дов. дом,96000
2025-10-20,Пурвциемс,Упеню 4,5,205,4/4,Спец. пр.,390000
2025-10-20,центр,Марияс 8A,4,111,4/5,Дов. дом,194000
2025-10-20,Дарзциемс,Резекнес 27,6,207,2/3,Спец. пр.,255000
2025-10-20,Агенскалнс,Ранькя Д. 34,3,95,6/22,Нов.,207000
2025-10-20,центр,Стрелниеку 5,3,139,5/7,Нов.,583000
2025-10-20,центр,Стрелниеку 8,4,163,7/7,Нов.,616000
2025-10-20,Агенскалнс,Ранькя Д. 31,2,54,2/4,Рекон.,85863
2025-10-20,р-он,ул. Латгалес Даугавпилс 43,2,55,3/1,Дов. дом,68000
2025-10-20,Вецмилгравис,Балтасбазницас 44,2,51,3/3,Сталинка,54000
2025-10-20,Агенскалнс,Ранькя Д. 5,1,30,2/5,Нов.,130000
2025-10-20,центр,Барона 23,4,77,5/6,Рекон.,123000
2025-10-20,Тейка,Бривибас 217,3,58,1/2,Рекон.,108000
2025-10-20,Плявниеки,Дравниеку 3 K-1,2,48,9/10,Нов.,104130
