Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-05-23,Пурвциемс,Илукстес 58,2,48,2/5,Лит. пр.,54000
2025-05-23,Плявниеки,Тинужу 18,4,75,5/9,467-я,55000
2025-05-23,Ильгюциемс,Лидоню 56,3,54,1/5,Лит. пр.,69000
2025-05-23,Ильгюциемс,Давида 1,2,36,1/2,Ч. дом,19000
2025-05-23,Тейка,Бикерниеку 109,2,39,2/3,Спец. пр.,54900
2025-05-23,Зиепниеккалнс,Грауду 30,3,54,5/5,Хрущ.,58500
2025-05-23,центр,Аугшиела 8,2,36,4/6,Рекон.,61500
2025-05-23,центр,Аугшиела 8,2,30,6/6,Рекон.,48500
2025-05-23,Тейка,Бривибас 201,3,76,2/5,Нов.,149500
2025-05-23,Тейка,Бривибас 201,2,39,5/5,Нов.,83900
2025-05-23,Тейка,Бривибас 201,4,100,2/5,Нов.,181900
2025-05-23,Пурвциемс,Деглава 13,2,30,6/6,Рекон.,48500
2025-05-23,Пурвциемс,Деглава 13,2,34,5/6,Рекон.,56950
2025-05-23,Гризинькалнс,Аугшиела 8,2,34,5/6,Рекон.,56950
2025-05-23,Гризинькалнс,Аугшиела 8,2,29,5/6,Рекон.,49950
2025-05-23,Иманта,Слокас 183,2,50,7/9,602-я,52500
2025-05-23,Пурвциемс,Дзелзавас 76,3,62,1/9,602-я,59000
2025-05-23,Пурвциемс,Илукстес 101,2,53,2/5,103-я,75500
2025-05-23,Тейка,Раунас 56,3,78,3/4,Нов.,200000
2025-05-23,Вецаки,Вецакю пр. 205B,2,68,1/4,Нов.,160000
2025-05-23,центр,Матиса 101,3,36,2/5,Рекон.,81900
2025-05-23,Ильгюциемс,Лидоню 23,2,49,1/5,Лит. пр.,59000
2025-05-23,Межциемс,Гайльэзера 13,3,87,4/9,Нов.,225000
2025-05-23,центр,Стабу 16,3,133,1/6,Рекон.,153000
2025-05-23,центр,Латгалес 121,3,47,2/6,Рекон.,79000
2025-05-23,центр,Гертрудес 112,3,35,3/5,Спец. пр.,49750
2025-05-23,Межапарк,Эзермалас 13,3,130,3/5,Нов.,246430
2025-05-23,Кенгарагс,Латгалес 121,3,47,2/6,Рекон.,79000
2025-05-23,центр,Латгалес 121,3,47,2/6,Рекон.,79000
2025-05-23,центр,Рупниецибас 5,3,105,5/6,Рекон.,215000
2025-05-23,Ильгюциемс,Скодас 4,3,67,4/5,Лит. пр.,46500
2025-05-23,центр,Дзирнаву 83,3,134,7/7,Нов.,525000
2025-05-23,Пурвциемс,Браслас 27,3,62,1/8,Нов.,111000
2025-05-23,р-он,ул. Латгалес Даугавпилс 43,2,55,1/3,Дов. дом,69000
2025-05-23,Агенскалнс,Капселю 25a,3,81,1/4,Нов.,249000
2025-05-23,Зиепниеккалнс,Баускас 43А,2,70,1/4,Дов. дом,102000
2025-05-23,Саркандаугава,Виестура пр. 59,2,48,5/9,Спец. пр.,70000
2025-05-23,Болдерая,Лиелупес 1/13,2,53,2/5,Спец. пр.,35000
2025-05-23,центр,Валмиерас 6,2,34,3/3,Дов. дом,30000
2025-05-23,Вецмилгравис,Эммас 28,2,35,2/5,Рекон.,45000
2025-05-23,Межциемс,Эйзенштейна 55,1,32,8/9,602-я,36000
2025-05-23,Ильгюциемс,Буллю 35B,2,49,2/5,Лит. пр.,36000
2025-05-23,Дарзциемс,Страуту 52,5,287,1/3,Рекон.,335000
2025-05-23,Золитуде,Русес 9,2,60,6/9,119-я,71000
2025-05-23,центр,Томсона 11,3,83,1/5,Сталинка,133270
2025-05-23,Тейка,Ропажу 5,3,68,1/5,Спец. пр.,105000
2025-05-23,Саркандаугава,Аптиекас 11,4,135,1/3,Дов. дом,69000
2025-05-23,Вецрига,Бискапа Гате 6,2,55,1/4,Дов. дом,65000
2025-05-23,Зиепниеккалнс,Виенибас Г. 186a,4,101,2/4,Нов.,172000
2025-05-23,Югла,"Силциема 15, k-1",2,45,2/5,Хрущ.,57500
2025-05-23,Болдерая,Лиелупес 1-k12,2,42,2/5,Хрущ.,30000
2025-05-23,Пурвциемс,Звайгзная Г. 4,3,66,2/5,Лит. пр.,74500
2025-05-23,Ильгюциемс,Спилвес 35,3,56,4/5,Лит. пр.,64900
2025-05-23,Межциемс,Хипократа 13,2,57,16/16,104-я,93900
2025-05-23,Зиепниеккалнс,Дикя 2,2,46,2/2,Дов. дом,40500
2025-05-23,Мангальсала,Тралеру 19,4,82,4/5,Спец. пр.,63000
2025-05-23,Дзегужкалнс,Уденс 12,3,107,3/5,Нов.,190000
2025-05-23,центр,Републикас пл. 3,4,107,3/7,Нов.,208000
2025-05-23,центр,Бруниниеку 121,3,43,4/5,Рекон.,65000
2025-05-23,центр,Матиса 69а,2,61,3/7,Нов.,129500
2025-05-23,Пурвциемс,Стирну 21,1,31,5/5,Лит. пр.,34100
2025-05-23,центр,Блауманя 12A,3,157,6/6,Рекон.,380000
2025-05-23,центр,Катринас Д. 27,3,114,1/11,Рекон.,183330
2025-05-23,центр,Асара 12/3,1,30,3/5,Рекон.,79970
2025-05-23,Дзегужкалнс,Дзирциема 1,2,53,5/5,103-я,50000
2025-05-23,Шампетерис-Плескодале,Лиелирбес 11,3,178,24/25,Нов.,350000
2025-05-23,центр,Пулкв. Бриежа 15A,2,27,1/6,Рекон.,68850
2025-05-23,центр,Пулкв. Бриежа 15,2,44,2/7,Рекон.,130500
2025-05-23,центр,Блауманя 17,2,79,5/5,Дов. дом,215000
2025-05-23,центр,Марияс 4,2,31,3/5,Рекон.,145800
2025-05-23,Дарзциемс,Ситас 48,1,39,5/5,М. сем.,29000
2025-05-23,Брекши,Бикерниеку 228,1,39,3/5,Спец. пр.,34900
2025-05-23,Зиепниеккалнс,Брукнас 12,3,77,1/10,119-я,67000
2025-05-23,Зиепниеккалнс,Валдекю 65,2,59,10/10,Рекон.,65000
2025-05-23,Плявниеки,Илукстес 26,1,40,2/5,М. сем.,33000
2025-05-23,Пурвциемс,Иерикю 25,2,65,1/5,Спец. пр.,61800
2025-05-23,р-н,ул.Краста Огрес 14,4,72,1/9,467-я,67000
2025-05-23,центр,Валдемара 75,3,100,2/5,Дов. дом,260000
2025-05-23,центр,Лабораторияс 5,3,68,5/5,Нов.,174800
2025-05-23,Пурвциемс,Стайцелес 21,3,61,2/5,Лит. пр.,53000
2025-05-23,Дарзциемс,Прейлю 4,2,46,4/5,103-я,59500
2025-05-23,Югла,Мурьяню 151,2,44,2/4,Нов.,97700
2025-05-23,Зиепниеккалнс,Дигнаяс 3A,2,63,5/6,Нов.,112000
2025-05-23,Межапарк,Инчукална 4,2,68,4/4,Рекон.,152000
2025-05-23,Пурвциемс,Унияс 60,2,39,4/5,Лит. пр.,36700
2025-05-23,Агенскалнс,Слокас 21,2,55,2/3,Рекон.,119000
2025-05-23,Межапарк,Инчукална 2,4,96,2/4,Рекон.,198000
2025-05-23,Агенскалнс,Кандавас 8 k4,2,42,1/3,Хрущ.,54000
2025-05-23,центр,Марияс 14,1,19,4/5,Рекон.,61050
2025-05-23,Яунциемс,Яунциема Г. 77,1,32,1/3,Спец. пр.,18000
2025-05-23,Иманта,Думбрая 29,3,76,1/7,Нов.,219000
2025-05-23,Агенскалнс,Смильгя 29,3,60,2/3,Нов.,177900
2025-05-23,Золитуде,Биезиня 12,2,57,5/9,119-я,84000
2025-05-23,Саркандаугава,Аптиекас 14,2,55,5/5,103-я,45800
2025-05-23,Агенскалнс,Х. Целминя 11,3,92,5/5,Рекон.,215000
2025-05-23,центр,Зирню 5 k-1,2,50,2/9,467-я,67000
2025-05-23,Плявниеки,Лубанас 115,1,44,6/9,М. сем.,30000
2025-05-23,центр,Рупниецибас 5,4,105,3/5,Рекон.,197400
2025-05-23,центр,Валдемара 9A,3,82,2/2,Дов. дом,179000
2025-05-23,Агенскалнс,Вентспилс 25,1,29,2/2,Дов. дом,9500
2025-05-23,центр,Марияс 14,3,36,2/5,Рекон.,110050
2025-05-23,Вецаки,Вецакю пр. 191,3,103,1/4,Нов.,165000
2025-05-23,Межциемс,Кайвас 1,3,82,2/2,Нов.,160000
2025-05-23,Югла,М. Юглас 1,3,82,2/2,Нов.,160000
2025-05-23,Гризинькалнс,Терезес 1,2,54,2/5,Дов. дом,78000
2025-05-23,Золитуде,Вецайнес 1,2,32,1/1,Ч. дом,32500
2025-05-23,Межциемс,Кайвас 1,4,134,2/2,Нов.,150000
2025-05-23,Вецрига,Миесниеку 14,3,79,4/5,Дов. дом,165000
2025-05-23,Тейка,Буртниеку 33,1,19,5/5,Спец. пр.,17900
2025-05-23,Пурвциемс,Стирну 48,1,43,5/5,М. сем.,29000
2025-05-23,центр,Марияс 14,3,21,3/5,Рекон.,68970
2025-05-23,центр,Лиенес 13,2,41,1/2,Спец. пр.,35000
2025-05-23,Агенскалнс,Нометню 75,3,63,2/4,Дов. дом,104280
2025-05-23,центр,Бривибас 142,5,108,2/6,Рекон.,175000
2025-05-23,Зиепниеккалнс,Берзупес 13,3,57,1/5,Лит. пр.,48000
2025-05-23,Кенгарагс,Прушу 9A,1,26,5/5,Хрущ.,32500
2025-05-23,Ильгюциемс,Палангас 7,3,54,3/5,Лит. пр.,39900
2025-05-23,Агенскалнс,Элвирас 18,2,50,5/5,Хрущ.,53000
2025-05-23,Торнякалнс,Даудзесес 2,1,27,2/2,Дов. дом,13000
2025-05-23,центр,Звайгжню 2,2,53,3/5,Дов. дом,94888
2025-05-23,Межапарк,Виестура пр. 59,2,46,6/9,Спец. пр.,71000
2025-05-23,Пурвциемс,Раунас 37,5,173,1/5,Спец. пр.,125000
2025-05-23,Кенгарагс,Локомотивес 70,2,39,5/5,Лит. пр.,37800
2025-05-23,Агенскалнс,Зелмайшу 15,3,66,4.00/5,Нов.,163000
2025-05-23,Дрейлини,Каивас 48A,3,64,1.00/6,Нов.,158600
2025-05-23,Агенскалнс,Лиепаяс 37C,3,65,2/4,Нов.,172000
2025-05-23,Саркандаугава,Софияс 4,4,73,5/5,Хрущ.,75000
2025-05-23,центр,Стабу 16,5,120,1/6,Рекон.,159000
2025-05-23,Агенскалнс,Зелмайшу 15,3,65,5/6,Нов.,174700
2025-05-23,центр,Виландес 16,2,66,4/6,Рекон.,175000
2025-05-23,центр,Матиса 93,2,60,5/5,Дов. дом,79800
2025-05-23,Болдерая,Гобас 20k4,1,41,3/9,Чеш. пр.,30000
2025-05-23,центр,Томсона 2,4,122,3/5,Дов. дом,189000
2025-05-23,Иманта,Курземес пр. 108a,2,51,5/5,Лит. пр.,60000
2025-05-23,центр,Лугажу 4,3,63,4/5,Лит. пр.,70000
2025-05-23,Кенгарагс,Латгалес 266k1,3,61,5/5,Хрущ.,40000
2025-05-23,Иманта,Ригондас Г. 7,2,47,3/12,Чеш. пр.,59500
2025-05-23,центр,Стабу 29,3,85,5/5,Рекон.,189000
2025-05-23,центр,Аусекля 5,6,240,5/6,Рекон.,890000
2025-05-23,центр,Заубес 9А,5,191,6/6,Нов.,630000
2025-05-23,Зиепниеккалнс,Залениеку 21,2,54,1/3,Нов.,99000
2025-05-23,Кенгарагс,Вишкю 19,3,60,4/5,Лит. пр.,50000
2025-05-23,Зиепниеккалнс,Валдекю 13/1,2,48,3/3,Хрущ.,54900
2025-05-23,Агенскалнс,О. Вациеша 3,2,61,1/2,Дов. дом,40000
2025-05-23,центр,Миера 76,3,53,3/5,Рекон.,68000
2025-05-23,Зиепниеккалнс,Валдекю 55,2,58,4/10,119-я,75000
2025-05-23,р-он,ул. Латгалес Латгалес 174,1,30,2/2,Дов. дом,19900
2025-05-23,Агенскалнс,М. Нометню 56,1,21,2/2,Спец. пр.,39000
