Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-08-01,центр,Блауманя 25,3,82,1/5,Дов. дом,179000
2025-08-01,центр,Матиса 91,2,33,5/6,Рекон.,29900
2025-08-01,центр,Лачплеша 104,2,53,2/2,Дов. дом,38900
2025-08-01,Даугавгрива,Парадес 26,4,72,3/5,Хрущ.,70000
2025-08-01,Плявниеки,Лубанас 43,2,46,2/2,Сталинка,48000
2025-08-01,Плявниеки,Деглава 152,3,62,1/9,602-я,51900
2025-08-01,Иманта,Талавас Г. 3,1,27,2/5,Лит. пр.,41500
2025-08-01,Кенгарагс,Лубанас 43,2,46,2/2,Сталинка,48000
2025-08-01,р-он,ул. Латгалес Лубанас 43,2,46,2/2,Сталинка,48000
2025-08-01,р-он,ул. Латгалес Лачплеша 104A,2,53,2/3,Дов. дом,38900
2025-08-01,Болдерая,Гобас 32,2,53,2/5,103-я,43000
2025-08-01,Пурвциемс,Дзелзавас 13,2,41,4/5,Хрущ.,70900
2025-08-01,Зиепниеккалнс,Берзлапу 2,2,59,2/16,104-я,69000
2025-08-01,Саркандаугава,Тилта 11,2,43,5/5,Хрущ.,39800
2025-08-01,центр,Шарлотес 7,4,94,5/7,Нов.,299000
2025-08-01,Пурвциемс,Лиелвардес 107,2,56,2/12,119-я,57000
2025-08-01,Агенскалнс,Даугавгривас 34,2,60,1/2,Спец. пр.,74000
2025-08-01,Дзегужкалнс,М. Стацияс 22,2,45,3/5,Лит. пр.,40000
2025-08-01,Агенскалнс,М. Нометню 75,4,75,3/4,Дов. дом,123750
2025-08-01,Зиепниеккалнс,Грауду 29a,3,74,4/4,Нов.,118000
2025-08-01,Тейка,Берзпилс 7,3,53,1/5,Хрущ.,82500
2025-08-01,центр,Валдемара 53,5,127,2/6,Дов. дом,170000
2025-08-01,Агенскалнс,М. Нометню 75,1,38,1/4,Дов. дом,60800
2025-08-01,Межциемс,Межциема 6,2,49,5/5,Лит. пр.,65000
2025-08-01,Мангали,Эзера 5A,1,24,2/2,Дов. дом,9000
2025-08-01,центр,Беньяминяс 13,3,85,4/6,Дов. дом,122950
2025-08-01,Межапарк,Кокнесес пр. 4 k-1,3,106,8/12,Нов.,165000
2025-08-01,Кенгарагс,Икшкилес 7,2,47,4/5,Лит. пр.,59900
2025-08-01,центр,Ганибу Д. 15,3,78,1/5,Дов. дом,66500
2025-08-01,р-он,ул. Латгалес Латгалес 224,3,62,3/9,467-я,45500
2025-08-01,центр,Элизабетес 22,4,93,5/5,Рекон.,265000
2025-08-01,Пурвциемс,Илукстес 101к2,1,33,9/9,467-я,32500
2025-08-01,Берги,Бривибас 446,4,186,3/3,Нов.,272000
2025-08-01,центр,Дарзауглю 1,2,74,4/7,Спец. пр.,136500
2025-08-01,Зиепниеккалнс,Вадактес 21,1,39,5/5,Спец. пр.,39000
2025-08-01,центр,Гертрудес 99 k2,1,24,6/6,Дов. дом,48000
2025-08-01,Дрейлини,Валтера 5,2,50,2/9,Нов.,74100
2025-08-01,Межциемс,Эйзенштейна 23,2,66,3/4,Нов.,132000
2025-08-01,Кенгарагс,Латгалес 268/5,2,43,4/5,Хрущ.,40000
2025-08-01,Иманта,Клеисту 11,2,51,6/9,602-я,44800
2025-08-01,Межциемс,Эйзенштейна 43,2,50,2/9,602-я,53500
2025-08-01,центр,Алунана 2,4,162,1/5,Дов. дом,350000
2025-08-01,Иманта,Курземес пр. 102,3,68,5/5,Лит. пр.,62500
2025-08-01,центр,Заубес 9А,5,191,6/6,Нов.,630000
2025-08-01,центр,Элизабетес 10,3,176,4/4,Рекон.,590000
2025-08-01,Пурвциемс,Дзелзавас 104,2,47,8/8,Нов.,113100
2025-08-01,центр,Уриекстес 38,3,50,1/2,Рекон.,31701
2025-08-01,Тейка,Бривибас 201,2,50,2/5,Нов.,101900
2025-08-01,Тейка,Бривибас 201,2,52,3/5,Нов.,149900
2025-08-01,Тейка,Бривибас 201,3,65,2/5,Нов.,169500
2025-08-01,Тейка,Бривибас 201,2,50,2/5,Нов.,101900
