Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-08-23,Иманта,Курземес пр. 88,3,60,2/5,Лит. пр.,73000
2025-08-23,р-н,ул.Краста Ритупес 16A,1,17,2/2,Дов. дом,15000
2025-08-23,р-н,ул.Краста Ритупес 16A,1,21,2/2,Дов. дом,15000
2025-08-23,центр,Гростонас 25,2,66,7/23,Нов.,160000
2025-08-23,Иманта,Даммес 6,1,35,3/9,602-я,44800
2025-08-23,Вецмилгравис,Сниега 2 k. 2.,2,51,5/5,Лит. пр.,55000
2025-08-23,Ильгюциемс,Гривас 17,3,55,5/5,Хрущ.,77000
2025-08-23,Чиекуркалнс,Скултес 4,2,33,1/2,Дов. дом,17000
2025-08-23,центр,М. Пиена 6,2,54,4/5,Нов.,84900
2025-08-23,Тейка,Кегума 45,1,39,5/5,М. сем.,30000
2025-08-23,Пурвциемс,Марциенас 1,2,59,3/9,119-я,54000
2025-08-23,Болдерая,Лемешу 9,2,52,3/9,602-я,46850
2025-08-23,Югла,Квелес 25,2,45,1/5,Лит. пр.,57000
2025-08-23,Яунциемс,Яунциема 2 п. л. 2,2,36,3/5,Хрущ.,27400
2025-08-23,Агенскалнс,Валентина 16,3,64,1/3,Нов.,128000
2025-08-23,Кенгарагс,Латгалес 301,3,81,4/12,Чеш. пр.,65000
2025-08-23,центр,Гану 6,3,100,2/8,Дов. дом,300000
2025-08-23,центр,Блауманя 40,1,23,1/5,Рекон.,63000
2025-08-23,Дрейлини,Каивас 19,2,40,2/5,Нов.,98000
2025-08-23,Вецмилгравис,Мелидас 3/1,2,51,5/5,Лит. пр.,80000
2025-08-23,Дзегужкалнс,Пурва 16,4,71,1/2,Дов. дом,95000
2025-08-23,Даугавгрива,Слимницас 11,2,45,2/5,103-я,33800
2025-08-23,Саркандаугава,Загеру 6,1,26,2/3,Дов. дом,20000
2025-08-23,Зиепниеккалнс,Озолциема 18,1,43,3/9,119-я,45000
2025-08-23,центр,Вагону 14,1,23,1/2,Дов. дом,43500
2025-08-23,Иманта,Юрмалас Г. 93 k-2,1,31,9/9,602-я,32900
2025-08-23,центр,Чака 138b,4,74,2/2,Дов. дом,110000
2025-08-23,Плявниеки,Дзеню 3,1,32,3/9,602-я,34000
2025-08-23,Саркандаугава,Твайка 54,3,55,3/5,Хрущ.,48780
2025-08-23,Кенгарагс,Саласпилс 6,3,60,4/5,Лит. пр.,62000
2025-08-23,Межциемс,Юглас 1,3,82,2/2,Нов.,160000
2025-08-23,р-он,ул. Латгалес Латгалес 146,2,33,2/4,Спец. пр.,59000
2025-08-23,р-он,ул. Латгалес Латгалес 146,1,15,2/4,Нов.,29000
2025-08-23,р-он,ул. Латгалес Латгалес 146,1,23,4/4,Нов.,38000
2025-08-23,р-он,ул. Латгалес Латгалес 146,1,24,1/4,Нов.,48000
2025-08-23,р-он,ул. Латгалес Латгалес 146,1,30,1/1,Нов.,47000
2025-08-23,р-он,ул. Латгалес Латгалес 146,2,29,4/4,Нов.,49000
2025-08-23,р-он,ул. Латгалес Латгалес 146,1,23,1/4,Нов.,39900
2025-08-23,р-он,ул. Латгалес Латгалес 146,1,20,4/4,Нов.,43000
2025-08-23,р-он,ул. Латгалес Латгалес 146,1,30,1/1,Спец. пр.,49000
2025-08-23,р-он,ул. Латгалес Латгалес 146,1,19,1/1,Спец. пр.,33000
2025-08-23,центр,Марияс 4,2,31,3/5,Рекон.,141000
2025-08-23,Плявниеки,Деглава 126,3,75,1/9,119-я,85000
2025-08-23,центр,Меркеля 8,3,40,3/3,Дов. дом,68000
2025-08-23,Агенскалнс,М. Нометню 11A,1,23,1/3,Дов. дом,18000
2025-08-23,Югла,Велдрес 5,2,45,2/5,Лит. пр.,45000
2025-08-23,Ильгюциемс,Гривас 17,1,30,2/5,Хрущ.,37000
2025-08-23,центр,Элизабетес 39,3,104,3/7,Нов.,615000
2025-08-23,Кенгарагс,Вишкю 19,3,60,4/5,Лит. пр.,45500
2025-08-23,Зиепниеккалнс,Путну 43,4,82,1/3,Нов.,212000
2025-08-23,центр,Виландес 12,3,105,5/6,Рекон.,229000
2025-08-23,Пурвциемс,Стирну 13A,3,104,4/6,Нов.,178000
2025-08-23,центр,Звайгжню 2,2,52,3/5,Дов. дом,60000
2025-08-23,центр,Менесс 22,3,60,2/4,Нов.,146888
