Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-01-10,Иманта,Зентенес 11,3,67,3/5,Лит. пр.,62000
2025-01-10,Иманта,Имантас 4a,1,28,5/5,Лит. пр.,28800
2025-01-10,Зиепниеккалнс,Зиепниеккална 70,2,59,1/4,Нов.,109000
2025-01-10,Иманта,Зентенес 39,2,38,4/5,Лит. пр.,39500
2025-01-10,Ильгюциемс,Балта 19,3,72,4/5,Лит. пр.,87000
2025-01-10,Саркандаугава,Саркандаугавас 3,1,29,2/5,Сталинка,32000
2025-01-10,Аплокциемс,Бриежу 9,4,68,6/5,Нов.,165000
2025-01-10,Пурвциемс,Мадонас 21,2,57,10/16,Спец. пр.,72000
2025-01-10,Золитуде,Лейиня 22,2,60,8/10,119-я,59500
2025-01-10,центр,Сколас 22a,4,114,5/6,Дов. дом,320000
2025-01-10,Тейка,Бривибас 235,2,48,4/5,Дов. дом,66000
2025-01-10,Тейка,Бривибас 235,4,90,2/4,Дов. дом,128000
2025-01-10,р-он ул. Латгалес,Латгалес 222c,1,36,1/9,467-я,30000
2025-01-10,Плявниеки,Праулиенас 2,4,77,4/9,602-я,67500
2025-01-10,Дарзциемс,Зелтиню 25,2,53,4/5,103-я,63500
2025-01-10,центр,Спорта 3,6,237,4/5,Дов. дом,395000
2025-01-10,Дзегужкалнс,Слокас 70,3,74,1/5,Спец. пр.,76000
2025-01-10,Пурвциемс,Мадонас 25,2,61,3/9,119-я,56900
2025-01-10,центр,Дзирнаву 62,5,134,4/5,Дов. дом,231000
2025-01-10,Агенскалнс,Сабилес 13,2,44,3/3,Нов.,133590
2025-01-10,Кенгарагс,Латгалес 250,1,30,2/5,Чеш. пр.,42200
2025-01-10,Кенгарагс,Аглонас 27,3,54,5/5,Хрущ.,35900
2025-01-10,Агенскалнс,Валентина 16,2,32,2/3,Нов.,75720
2025-01-10,Агенскалнс,Кугю 15,3,91,2/7,Рекон.,212500
2025-01-10,центр,Чака 45,3,57,1/3,Дов. дом,95000
2025-01-10,Югла,Бривибас 386,3,68,9/14,Нов.,149000
2025-01-10,центр,Бруниниеку 102a,1,24,3/3,Дов. дом,24800
2025-01-10,Тейка,Берзпилс 65,2,45,1/2,Сталинка,41000
2025-01-10,Тейка,Земгала 80,4,140,10/10,Нов.,199000
2025-01-10,центр,Стабу 55,1,25,1/5,Дов. дом,17500
2025-01-10,Межапарк,Эзермалас 4,2,28,2/5,Рекон.,38364
2025-01-10,Чиекуркалнс,Эзермалас 4,2,20,3/5,Рекон.,26772
2025-01-10,Межапарк,Эзермалас 4,1,19,1/5,Рекон.,33660
2025-01-10,центр,Гоголя 10,4,96,3/5,Дов. дом,159900
2025-01-10,центр,Бривибас 103,2,61,6/6,Дов. дом,130000
2025-01-10,р-н ул.Краста,Салацас 9,2,52,7/9,602-я,42500
2025-01-10,центр,Стабу 33,2,47,1/2,Дов. дом,69000
2025-01-10,центр,Виландес 2,2,58,3/5,Рекон.,200000
2025-01-10,Зиепниеккалнс,Пипеню 10,1,40,1/5,Спец. пр.,42000
2025-01-10,Межапарк,Кемпес 2A,2,35,4/12,Нов.,106000
2025-01-10,Межапарк,Кемпес 2A,2,36,9/12,Нов.,102000
2025-01-10,Иманта,Клеисту 10,2,49,5/5,Лит. пр.,47500
2025-01-10,Кенгарагс,Латгалес 415,2,50,2/9,467-я,47500
2025-01-10,центр,Миера 78,1,30,4/5,Дов. дом,37000
2025-01-10,Дарзциемс,Ситас 48,1,39,5/5,М. сем.,30000
2025-01-10,Агенскалнс,Ранькя Д. 34,3,133,20/23,Нов.,370000
2025-01-10,центр,Меркеля 2,2,46,4/6,Рекон.,165600
2025-01-10,Торнякалнс,Елгава 63,4,188,6/6,Нов.,295000
2025-01-10,Кенгарагс,Булту 4,2,49,1/5,Лит. пр.,36000
2025-01-10,Ильгюциемс,Лилияс 15,3,53,5/5,Хрущ.,49900
2025-01-10,Шампетерис-Плескодале,Лиелирбес 13,2,86,8/30,Нов.,150000
2025-01-10,р-н ул.Краста,Зилупес 1/2,2,47,3/3,Спец. пр.,40000
2025-01-10,Пурвциемс,Илукстес 107/1,3,59,8/9,467-я,53500
2025-01-10,Ильгюциемс,Буллю 20,1,31,2/2,Спец. пр.,23000
2025-01-10,центр,Заубес 9,4,350,7/7,Нов.,490000
2025-01-10,центр,Калниня 1,1,16,3/5,Рекон.,67880
