Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-03-16,центр,Матиса 19,2,40,5/6,Дов. дом,72000
2025-03-16,Иманта,Курземес пр. 164,2,50,5/9,602-я,51800
2025-03-16,центр,Сканстес 29,2,71,17/24,Нов.,220000
2025-03-16,центр,Лиенес 9,2,53,3/6,Дов. дом,80000
2025-03-16,р-н,ул.Краста Латгалес 121,3,57,4/6,Рекон.,89000
2025-03-16,Кенгарагс,Латгалес 121,3,57,4/6,Рекон.,89000
2025-03-16,р-он,ул. Латгалес Ерсикас 21,3,57,4/6,Рекон.,89000
2025-03-16,центр,Садовникова 21,3,57,3/6,Рекон.,89000
2025-03-16,Зиепниеккалнс,Баускас 201,2,52,2/9,602-я,53000
2025-03-16,р-он,ул. Латгалес Краславас 14,1,23,1/5,Нов.,57885
2025-03-16,Межциемс,Гайльэзера 4,3,63,7/9,602-я,79500
2025-03-16,центр,Дзирнаву 53,4,116,4/6,Дов. дом,345000
2025-03-16,центр,Ганибу Д. 11,4,89,6/6,Нов.,310000
2025-03-16,центр,Гертрудес 5a,5,162,4/5,Дов. дом,220000
2025-03-16,Югла,Бривибас 386,2,50,7/14,Нов.,109000
2025-03-16,Плявниеки,Каудзишу 2,1,39,2/5,М. сем.,34900
2025-03-16,Агенскалнс,Смильгя 9,2,41,3/4,Рекон.,88000
2025-03-16,Золитуде,Биезиня 10,3,75,5/10,119-я,72000
2025-03-16,Агенскалнс,Смильгя 9,2,98,4/4,Рекон.,197000
2025-03-16,Вецмилгравис,Балтасбазницас 23,1,24,4/4,Хрущ.,32800
2025-03-16,центр,Лачу 2A,1,40,3/3,Рекон.,80000
2025-03-16,Золитуде,Лейиня 6,4,94,8/10,119-я,105000
2025-03-16,Кенгарагс,Вишкю 13,1,30,5/5,Лит. пр.,35000
2025-03-16,Агенскалнс,Номалес 7,1,30,1/5,Хрущ.,32000
2025-03-16,центр,Катринас Д. 17,3,192,6/6,Нов.,255000
2025-03-16,Кенгарагс,Латгалес 268,3,61,3/5,Лит. пр.,45000
2025-03-16,Гризинькалнс,Таллинас 92A,4,167,7/7,Рекон.,180000
2025-03-16,Другой,Jaunatnes 30,4,70,2/5,Спец. пр.,83000
2025-03-16,Вецмилгравис,"Мелдру 6, к-2",2,39,4/4,Хрущ.,27500
2025-03-16,центр,Екаба 26,1,30,4/6,Рекон.,89000
2025-03-16,Вецрига,Екаба 26,1,30,4/6,Рекон.,89000
2025-03-16,Иманта,Курземес пр. 50,2,50,4/5,Лит. пр.,42500
2025-03-16,Торнякалнс,Акменю 13,3,71,3/4,Дов. дом,117000
2025-03-16,центр,М. Пиена 8,3,48,1/4,Рекон.,75000
2025-03-16,Ильгюциемс,Дзирциема 71,1,30,7/9,602-я,35000
2025-03-16,Ильгюциемс,Реньгес 7к. 2,2,42,1/3,Хрущ.,43000
2025-03-16,центр,Бруниниеку 38,4,105,1/4,Рекон.,245000
2025-03-16,центр,Заубес 9a,4,350,7/7,Нов.,490000
2025-03-16,Пурвциемс,Ницгалес 44,2,51,6/9,602-я,39000
2025-03-16,центр,Томсона 23,1,30,3/5,Хрущ.,65800
2025-03-16,р-он,ул. Латгалес Ерсикас 21A,3,47,2/6,Рекон.,79000
2025-03-16,Плявниеки,Руденс 3,4,78,2/9,602-я,69900
2025-03-16,Кенгарагс,Икшкилес 5,1,38,6/12,Чеш. пр.,37500
2025-03-16,Агенскалнс,Валентина 16,3,65,4/4,Рекон.,151000
2025-03-16,Торнякалнс,Оливу 7,1,27,2/2,Дов. дом,17550
2025-03-16,центр,Цесу 5b,2,43,3/6,Дов. дом,81000
2025-03-16,Тейка,Унияс 24,3,65,5/5,103-я,96000
2025-03-16,Кенгарагс,Каниера 14,1,31,9/12,М. сем.,34000
2025-03-16,р-н,ул.Краста Радзиня набережная 29,3,73,5/6,Рекон.,129900
2025-03-16,Вецмилгравис,Вецмилгравья 1 л. 26,3,56,4/5,Лит. пр.,55000
2025-03-16,Пурвциемс,Иерикю 58,1,37,2/9,Спец. пр.,42000
2025-03-16,р-н,ул.Краста Плявиню 25,2,47,3/5,Хрущ.,35720
2025-03-16,Зиепниеккалнс,Берзупес 31a,2,53,5/5,Спец. пр.,44000
2025-03-16,Иманта,Слокас 130,3,82,6/8,Нов.,196000
2025-03-16,Кенгарагс,Латгалес 419,1,30,3/5,Спец. пр.,21500
2025-03-16,Агенскалнс,Кристапа 10,1,17,3/4,Хрущ.,30500
2025-03-16,центр,Садовникова 21,2,47,2/6,Рекон.,79000
2025-03-16,Агенскалнс,Сабилес 4,2,37,1/2,Дов. дом,18000
2025-03-16,Пурвциемс,Илукстес 54,1,43,4/5,М. сем.,48200
2025-03-16,Болдерая,Лиелупес 68,2,48,4/5,Лит. пр.,19750
2025-03-16,Плявниеки,Деглава 122,4,89,9/9,119-я,97000
2025-03-16,центр,Катринас Д. 27,2,46,7/12,Рекон.,83600
2025-03-16,Тейка,Кауказа 11,2,52,1/4,Нов.,165440
2025-03-16,Тейка,Кауказа 11,3,79,3/4,Нов.,251520
2025-03-16,Тейка,Кауказа 11,4,132,4/4,Нов.,421120
2025-03-16,центр,Аусекля 4,4,155,7/7,Рекон.,400000
2025-03-16,Зиепниеккалнс,Озолциема 32/3,3,61,3/9,602-я,59000
2025-03-16,центр,Томсона 11,3,83,1/5,Сталинка,133270
2025-03-16,Кенгарагс,Е. Ранцана 8,2,49,2/5,Лит. пр.,47000
2025-03-16,Яунциемс,Яунциема Г. 182,1,30,5/5,Хрущ.,28000
2025-03-16,р-он,ул. Латгалес Ерсикас 21,3,47,2/6,Рекон.,79000
2025-03-16,центр,Садовникова 21,3,47,2/6,Рекон.,79000
2025-03-16,р-он,ул. Латгалес Ерсикас 21,3,47,2/6,Рекон.,79000
2025-03-16,Пурвциемс,Стайцелес 1k-2,2,51,1/9,602-я,54800
2025-03-16,Пурвциемс,Пурвциема 24,2,58,1/9,119-я,60000
2025-03-16,Пурвциемс,Илукстес 60,2,49,4/5,Лит. пр.,45000
2025-03-16,Межциемс,Гайльэзера 4,3,64,6/9,602-я,59000
2025-03-16,центр,Томсона 11,3,88,1/5,Сталинка,140800
2025-03-16,Вецрига,Мейстару 6,1,40,1/5,Дов. дом,72000
2025-03-16,Межапарк,Виестура пр. 22,2,45,3/5,Хрущ.,35500
2025-03-16,Иманта,Курземес пр. 152,1,33,9/9,602-я,35000
2025-03-16,центр,Матиса 89-1,4,89,1/2,Дов. дом,160200
2025-03-16,центр,Экспорта 15,3,54,1/5,Хрущ.,59900
2025-03-16,Межциемс,Хипократа 63,2,50,7/9,602-я,58000
2025-03-16,Брекши,Бикерниеку 218,2,51,2/5,103-я,45000
2025-03-16,центр,Гертрудес 98,1,16,4/5,Дов. дом,18000
2025-03-16,Вецмилгравис,Балтасбазницас 33,3,60,2/2,Сталинка,72000
2025-03-16,р-он,ул. Латгалес Лудзас 56,3,64,7/7,Рекон.,88000
2025-03-16,Золитуде,Русес 5,3,80,9/9,119-я,91500
2025-03-16,центр,Бривибас 159,4,240,1/5,Рекон.,125000
2025-03-16,Межциемс,Веца Бикерниеку 19,3,85,2/4,Нов.,178000
2025-03-16,Агенскалнс,Кристапа 8b,1,18,2/5,Хрущ.,22500
2025-03-16,центр,Пернавас 15A,2,44,2/5,Рекон.,105000
2025-03-16,Ильгюциемс,Скодас 4,2,38,3/5,Лит. пр.,47000
2025-03-16,Иманта,Прогреса 2A,1,49,1/12,104-я,55000
2025-03-16,Иманта,Слокас 201,2,51,7/9,602-я,51300
2025-03-16,Ильгюциемс,Реньгес 2b,3,68,2/5,Лит. пр.,56000
2025-03-16,Пурвциемс,Андромедас Г. 4,2,49,5/5,Лит. пр.,43000
2025-03-16,Пурвциемс,Илукстес 101,2,53,2/5,103-я,79900
2025-03-16,центр,Бриана 17,2,48,1/1,Дов. дом,72000
2025-03-16,Дзегужкалнс,Морица 20B,2,50,1/5,Лит. пр.,39900
2025-03-16,Золитуде,Лейиня 14,2,58,9/9,119-я,82000
2025-03-16,Дарзциемс,Зелтиню 20,2,50,6/9,602-я,39000
2025-03-16,Межциемс,Бикерниеку 258,1,44,1/2,Спец. пр.,32000
2025-03-16,Болдерая,Доломита 2,2,50,5/5,Спец. пр.,36500
2025-03-16,Вецмилгравис,Вецмилгравья 1 л. 52,2,51,2/5,Лит. пр.,49850
2025-03-16,Даугавгрива,Парадес 7,2,53,4/5,103-я,38800
2025-03-16,Даугавгрива,Плекснес 3,2,55,4/5,103-я,34100
2025-03-16,Тейка,Бривибас 225a,2,46,5/5,Хрущ.,44900
2025-03-16,Зиепниеккалнс,Берзупес 13,3,61,5/5,Лит. пр.,66550
2025-03-16,Саркандаугава,Виестура пр. 77,1,34,5/5,103-я,24500
2025-03-16,Ильгюциемс,Стурес 1a,4,149,3/4,Сталинка,165000
2025-03-16,Чиекуркалнс,Чиекуркална 4 п. л. 8,2,53,1/5,103-я,60000
2025-03-16,центр,Бриана 14,2,38,4/4,Дов. дом,92000
2025-03-16,Плявниеки,Улброкас 12,2,62,1/7,Нов.,106000
2025-03-16,Агенскалнс,Кугю 15,3,86,2/7,Рекон.,240000
2025-03-16,Кенгарагс,Вишкю 9,2,37,4/5,Лит. пр.,33000
2025-03-16,Тейка,Бривибас 338,2,59,7/7,Нов.,110000
2025-03-16,центр,Райня бульв. 3a,3,82,5/6,Рекон.,175000
2025-03-16,Золитуде,Лейиня 22,2,58,7/10,119-я,55000
2025-03-16,Ильгюциемс,Спилвес 35,2,50,5/5,Лит. пр.,39500
2025-03-16,Вецмилгравис,Мелидас 2,1,43,5/5,М. сем.,41500
2025-03-16,центр,Бруниниеку 42/2,2,46,3/4,Нов.,148500
2025-03-16,Мангали,Морес 11,2,47,1/2,Хрущ.,25000
2025-03-16,Межциемс,Межциема 23,1,49,9/16,104-я,48000
2025-03-16,Югла,Малиенас 78,2,45,1/5,Хрущ.,34500
2025-03-16,Пурвциемс,Унияс 76A,2,37,1/5,Лит. пр.,38990
