Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-06-04,Торнякалнс,Цепля 9,1,61,3/3,Дов. дом,62000
2025-06-04,Дарзциемс,Ситас 50,1,42,1/5,М. сем.,27000
2025-06-04,Ильгюциемс,Дагмарас 18,1,34,3/5,103-я,46580
2025-06-04,Пурвциемс,Иерикю 58,3,61,5/9,Спец. пр.,79000
2025-06-04,Шампетерис-Плескодале,Лиелирбес 9A,2,45,3/4,Рекон.,103500
2025-06-04,Межциемс,Целму 2,2,50,3/9,602-я,49500
2025-06-04,Плявниеки,Рембатес 8,3,77,2/10,Нов.,150000
2025-06-04,Шампетерис-Плескодале,Лиелирбес 9A,1,32,1/4,Рекон.,71500
2025-06-04,центр,Стабу 95,2,55,2/5,Дов. дом,89000
2025-06-04,Шампетерис-Плескодале,Лиелирбес 9A,2,42,4/4,Рекон.,107000
2025-06-04,Шампетерис-Плескодале,Лиелирбес 9A,3,47,3/4,Рекон.,120500
2025-06-04,Саркандаугава,Саркандаугавас 3,2,47,4/5,Сталинка,68000
2025-06-04,центр,Зирню 6,2,43,4/6,Хрущ.,55000
2025-06-04,Шампетерис-Плескодале,Лиелирбес 9A,1,24,1/4,Рекон.,61500
2025-06-04,Шампетерис-Плескодале,Лиелирбес 9A,1,30,3/4,Рекон.,74500
2025-06-04,центр,Аугшиела 8,2,30,5/6,Рекон.,49950
2025-06-04,центр,Аугшиела 8,2,34,4/6,Рекон.,58950
2025-06-04,Кенгарагс,Пелну 2,2,50,4/5,Лит. пр.,40000
2025-06-04,Межциемс,Веца Бикерниеку 37,3,85,4/4,Нов.,193000
2025-06-04,Плявниеки,Тинужу 14,2,50,2/9,602-я,57500
2025-06-04,центр,Лугажу 6,2,47,3/5,Лит. пр.,42000
2025-06-04,Ильгюциемс,Мотору 5,2,48,3/5,Лит. пр.,36000
2025-06-04,Тейка,Буртниеку 36a,3,111,2/4,Спец. пр.,190000
2025-06-04,Иманта,Юрмалас Г. X,2,66,4/4,Рекон.,118000
2025-06-04,Кенгарагс,Каниера 18,1,29,4/12,Спец. пр.,30000
2025-06-04,Вецмилгравис,Эммас 6,4,67,1/3,Сталинка,66000
2025-06-04,центр,Валдемара 53,5,127,2/6,Дов. дом,177800
2025-06-04,центр,Экспорта 10,2,43,1/5,Сталинка,97200
2025-06-04,Зиепниеккалнс,Ислицес 1,1,43,6/10,119-я,46500
2025-06-04,Ильгюциемс,Реньгес 2b,2,50,3/5,Лит. пр.,62000
2025-06-04,Пурвциемс,Айнавас 2,2,39,4/5,Лит. пр.,43000
2025-06-04,Плявниеки,Дравниеку 7,2,51,1/9,602-я,60000
2025-06-04,центр,Лачплеша 36,2,44,6/6,Рекон.,108000
2025-06-04,центр,Калпака бульв. 7,2,82,3/6,Рекон.,280000
2025-06-04,центр,Калпака бульв. 7,3,83,5/5,Рекон.,380000
2025-06-04,Гризинькалнс,Пернавас 65,1,35,3/5,Дов. дом,53200
2025-06-04,Плявниеки,Сахарова 5,2,52,2/9,602-я,63500
2025-06-04,Плявниеки,Сахарова 27,3,73,8/16,Спец. пр.,94900
2025-06-04,Ильгюциемс,Дзирциема 89,3,56,5/5,Лит. пр.,50000
2025-06-04,Саркандаугава,Приежу 14A,1,24,1/3,Дов. дом,5350
2025-06-04,центр,Дайнас 10A,3,62,1/7,Нов.,176900
2025-06-04,Пурвциемс,Варавикснес Г. 18,3,63,9/9,602-я,79000
2025-06-04,Плявниеки,Плявниеку 2d,3,72,2/16,104-я,86500
2025-06-04,центр,Барона 49,3,84,2/6,Рекон.,235000
2025-06-04,центр,Валдемара 143/2,2,45,5/5,Хрущ.,44800
2025-06-04,центр,Зирню 8,1,30,2/5,Хрущ.,42000
2025-06-04,Межапарк,Яуна Межапарка 36,4,245,3/3,Нов.,564000
2025-06-04,центр,Базницас 27,4,158,5/5,Дов. дом,590000
2025-06-04,центр,Бриана 15,2,92,1/2,Рекон.,138000
2025-06-04,Плявниеки,Славу 17,3,63,3/9,602-я,87000
2025-06-04,центр,Чака 72,2,51,4/4,Рекон.,125000
2025-06-04,Югла,Велдрес 32,1,35,1/9,104-я,42200
2025-06-04,Агенскалнс,Вилипа 8,3,58,3/9,467-я,63000
2025-06-04,центр,Бривибас 159a,5,130,1/6,Дов. дом,129000
2025-06-04,Кенгарагс,Саласпилс 22,4,74,2/4,Спец. пр.,117000
2025-06-04,Зиепниеккалнс,Малу 18,2,38,1/4,Нов.,94250
2025-06-04,центр,Клияну 16,2,40,5/9,Нов.,95700
2025-06-04,центр,Барона 70,3,60,2/3,Дов. дом,89500
2025-06-04,центр,Стрелниеку 19,3,79,1/4,Рекон.,165000
2025-06-04,Ильгюциемс,Лидоню 23,2,49,1/5,Лит. пр.,55000
2025-06-04,Кливерсала,Триядибас 1A,3,72,3/7,Нов.,315000
2025-06-04,Вецмилгравис,Калнгалес 8,1,35,3/9,602-я,26000
2025-06-04,Ильгюциемс,Палангас 1,3,54,3/5,Лит. пр.,44000
2025-06-04,Межциемс,Кайвас 50/1,2,46,5/5,Нов.,89000
2025-06-04,Кливерсала,Триядибас 1A,5,108,4/7,Нов.,470000
2025-06-04,Зиепниеккалнс,Озолциема 32/3,3,62,3/9,602-я,55000
2025-06-04,Кливерсала,Триядибас 1A,4,210,7/7,Нов.,745000
2025-06-04,Иманта,Даммес 22,3,54,5/5,Лит. пр.,53500
2025-06-04,Зиепниеккалнс,Ислицес 14,5,126,13/13,Спец. пр.,55500
2025-06-04,центр,Сколас 14,4,158,4/6,Дов. дом,345000
2025-06-04,центр,Пулкв. Бриежа 7,3,86,2/6,Рекон.,250000
2025-06-04,центр,Красотаю 13,2,31,5/5,Рекон.,77000
2025-06-04,р-он,ул. Латгалес Краславас 34,2,37,1/5,Дов. дом,38500
2025-06-04,центр,Таллинас 1,2,62,2/5,Нов.,140000
2025-06-04,Югла,Тирзас 3,1,30,4/4,Хрущ.,27000
2025-06-04,Пурвциемс,Жагату 20,2,48,5/9,602-я,53295
2025-06-04,Ильгюциемс,Дзирциема 20,2,56,3/5,Нов.,163800
2025-06-04,Вецмилгравис,Ринкас 3,3,55,3/5,Лит. пр.,39500
2025-06-04,Берги,Бривибас 446,4,341,4/4,Нов.,325000
2025-06-04,Югла,Бривибас 446,4,341,4/4,Нов.,325000
2025-06-04,Югла,Вангажу 37,3,73,9/12,Чеш. пр.,89800
2025-06-04,Тейка,Бривибас 229,2,43,1/5,Хрущ.,45000
2025-06-04,Золитуде,Русес 6,2,62,1/6,119-я,53900
2025-06-04,Агенскалнс,Бишу 17,1,34,2/3,Дов. дом,24000
2025-06-04,Зиепниеккалнс,Баускас 49,3,62,5/5,Лит. пр.,75123
2025-06-04,Плявниеки,Салнас 21,2,41,1/9,Нов.,75000
2025-06-04,Золитуде,Лейиня 6,3,78,4/10,119-я,70000
2025-06-04,Агенскалнс,Эрнестинес 15,1,21,2/2,Дов. дом,28500
2025-06-04,Золитуде,Анниньмуйжас 20,6,183,5/5,Нов.,285000
2025-06-04,центр,Краста 21,3,91,2/6,Рекон.,159500
2025-06-04,Зиепниеккалнс,Озолциема 46k3,3,63,2/9,602-я,56499
2025-06-04,центр,Озолу 7,2,39,2/5,Спец. пр.,39000
2025-06-04,Зиепниеккалнс,Залениеку 40,1,12,3/5,М. сем.,9900
2025-06-04,Кенгарагс,Малтас 22,3,54,5/5,Лит. пр.,42000
2025-06-04,Тейка,Бривибас 201,2,39,3/5,Нов.,79500
2025-06-04,Тейка,Бривибас 201,3,90,2/5,Нов.,181900
2025-06-04,Дарзциемс,Зелтиню 58,2,43,4/5,М. сем.,47000
2025-06-04,Золитуде,Лиедес 2,4,123,4/4,Нов.,238000
2025-06-04,центр,Марияс 25,4,102,2/6,Дов. дом,172000
2025-06-04,Кенгарагс,Локомотивес 90,3,61,5/5,Лит. пр.,55000
2025-06-04,Кенгарагс,Прушу 26,1,16,3/3,Рекон.,26500
2025-06-04,Тейка,Бривибас 227,2,54,5/5,103-я,62000
2025-06-04,Агенскалнс,Ранькя Д. 34,3,98,8/22,Нов.,320000
2025-06-04,центр,Стабу 19,3,78,4/6,Рекон.,220000
2025-06-04,центр,Лабораторияс 3,1,30,1/5,Рекон.,89000
2025-06-04,центр,Авоту 4A,2,41,3/5,Рекон.,114500
2025-06-04,Агенскалнс,Рододендру 12,2,40,1/5,Хрущ.,36300
2025-06-04,Вецмилгравис,Вецмилгравья 1 л. 8,1,12,1/4,Сталинка,5000
2025-06-04,центр,Стабу 19,3,78,4/6,Рекон.,220000
2025-06-04,Шкиротава,Дзиркалю 18,1,17,2/3,М. сем.,16000
2025-06-04,Золитуде,Юркалнес 87,2,46,1/5,Нов.,92000
2025-06-04,центр,Блауманя 25,2,46,3/5,Дов. дом,79000
2025-06-04,Агенскалнс,Зеллю 13,1,25,1/4,Рекон.,59774
2025-06-04,Пурвциемс,Упеню 17,2,62,7/9,Нов.,134340
2025-06-04,Гризинькалнс,Пернавас 56,1,24,3/3,Дов. дом,17000
2025-06-04,Шампетерис-Плескодале,Залвес 52,2,53,2/5,103-я,46000
2025-06-04,Пурвциемс,Ницгалес 34,4,123,4/4,Нов.,198000
2025-06-04,Золитуде,Грамздас 17,3,75,6/9,119-я,90000
2025-06-04,Пурвциемс,Дзелзавас 74C,2,39,2/13,Нов.,102900
2025-06-04,Агенскалнс,Зеллю 13,3,57,2/3,Рекон.,160720
2025-06-04,Болдерая,Доломита 2,1,37,2/5,Спец. пр.,19500
2025-06-04,Берги,Яунибас 11,4,144,3/3,Нов.,175000
2025-06-04,Тейка,Структору 5,1,28,1/3,Рекон.,45800
2025-06-04,центр,Леяс 5,2,35,4/5,Дов. дом,66300
2025-06-04,центр,Экспорта 12,3,120,4/6,Рекон.,270000
2025-06-04,Тейка,Бривибас 201,4,93,2/5,Нов.,172500
2025-06-04,Вецмилгравис,Мелдру 24,3,57,4/5,Лит. пр.,48000
2025-06-04,р-н,ул.Краста Салацас 21,3,59,6/9,467-я,52500
2025-06-04,Вецрига,Вецпилсетас 5,-,283,5/6,Рекон.,335000
2025-06-04,Югла,Циемупес 2,4,130,1/9,Нов.,135000
2025-06-04,Саркандаугава,Кадикю 3,2,50,1/2,Рекон.,61000
2025-06-04,Вецрига,Пелду 24,2,51,4/4,Рекон.,115000
2025-06-04,Вецрига,Пелду 24,2,47,4/4,Рекон.,117000
2025-06-04,Пурвциемс,Стайцелес 1 k-2,2,51,1/9,602-я,52500
2025-06-04,Ильгюциемс,Скуйенес 9,2,45,3/5,Хрущ.,38000
2025-06-04,Зиепниеккалнс,Путну 14,3,65,2/5,Нов.,119000
2025-06-04,Иманта,Курземес пр. 118,2,49,8/9,602-я,46500
2025-06-04,центр,Менесс 22,3,60,2/4,Нов.,154000
2025-06-04,центр,Таллинас 35c,2,53,5/5,Дов. дом,92000
2025-06-04,центр,Миера 63,2,43,3/3,Дов. дом,75000
2025-06-04,Зиепниеккалнс,Валдекю 53,2,60,7/10,119-я,56000
2025-06-04,центр,Стрелниеку 1B,4,104,2/5,Дов. дом,168500
2025-06-04,р-он,ул. Латгалес Калупес 15,2,32,1/5,Дов. дом,40500
2025-06-04,Болдерая,Гобас 16,1,34,5/5,103-я,25750
2025-06-04,р-он,ул. Латгалес Калупес 15,1,23,2/5,Дов. дом,34500
2025-06-04,Пурвциемс,Виршу 4,3,70,10/12,104-я,84000
2025-06-04,Иманта,Клеисту 11,2,48,7/9,602-я,51300
2025-06-04,Агенскалнс,Алисес 6,2,46,5/5,Хрущ.,56000
2025-06-04,Кенгарагс,Латгалес 258-6,1,32,2/5,Лит. пр.,32500
2025-06-04,центр,Стабу 50,2,63,1/6,Дов. дом,120000
2025-06-04,Пурвциемс,Андромедас Г. 5A,1,42,1/5,М. сем.,36900
2025-06-04,центр,Лабораторияс 7A,2,48,3/3,Дов. дом,60800
2025-06-04,центр,Лабораторияс 5,3,62,2/3,Нов.,149800
2025-06-04,центр,Сколас 22,4,110,4/4,Дов. дом,286000
2025-06-04,Агенскалнс,Грина бульв. 1,2,37,1/5,Сталинка,11000
2025-06-04,Межциемс,Эйзенштейна 65,3,64,1/9,602-я,69000
2025-06-04,Вецмилгравис,Эммас 28,2,35,2/5,Рекон.,42000
2025-06-04,Болдерая,Гобас 34,2,52,5/5,Спец. пр.,51000
2025-06-04,Плявниеки,Павасара г. 1,1,32,9/7,602-я,38500
2025-06-04,Пурвциемс,Дзелзавас 21,1,29,5/5,Хрущ.,25900
2025-06-04,VEF,Унияс 7a,1,25,1/2,Дов. дом,18000
2025-06-04,Зиепниеккалнс,Озолциема 18,2,61,3/9,119-я,55000
2025-06-04,Торнякалнс,Елгава 88,3,54,1/4,Дов. дом,58000
2025-06-04,Болдерая,Текстилниеку 5-3,1,35,1/3,Рекон.,15800
2025-06-04,центр,Беньяминяс 10,2,60,3/5,Дов. дом,86000
2025-06-04,Плявниеки,Сахарова 5,2,51,1/9,602-я,62000
2025-06-04,Пурвциемс,Калснавас 2,1,43,1/9,119-я,49500
2025-06-04,р-н,ул.Краста Дзервью 10,4,78,3/9,467-я,83900
2025-06-04,Плявниеки,Ренцену 40,1,28,1/2,Рекон.,30500
2025-06-04,центр,Калниня 2,4,118,6/6,Рекон.,230000
2025-06-04,Агенскалнс,Кугю 15,4,171,6/7,Нов.,625000
2025-06-04,центр,Виландес 6,6,204,4/4,Дов. дом,467050
2025-06-04,Югла,Вангажу 26,1,35,7/12,Спец. пр.,44000
2025-06-04,Пурвциемс,Унияс 32,1,27,2/1,Дов. дом,14700
2025-06-04,центр,Калпака бульв. 5,6,280,4/4,Рекон.,650000
2025-06-04,центр,Артилерияс 8,2,36,1/5,Дов. дом,31800
2025-06-04,центр,Тербатас 42,4,93,3/5,Дов. дом,169000
2025-06-04,центр,Гертрудес 62a,3,65,2/6,Дов. дом,95000
2025-06-04,Межциемс,Кайвас 33,2,70,1/4,Нов.,128000
2025-06-04,Пурвциемс,Марса Г. 12,3,68,1/5,Лит. пр.,80000
2025-06-04,Ильгюциемс,Дзирциема 71,3,64,6/9,602-я,69900
2025-06-04,центр,Спорта 3,4,237,4/5,Дов. дом,309500
2025-06-04,Тейка,Бривибас 201,3,73,3/5,Нов.,224900
2025-06-04,Тейка,Бривибас 201,2,53,2/5,Нов.,134900
2025-06-04,Тейка,Бривибас 201,2,37,2/5,Нов.,114900
2025-06-04,центр,Виландес 5,5,165,4/5,Дов. дом,255000
2025-06-04,центр,М. Матиса 83,2,46,4/5,Дов. дом,69900
2025-06-04,центр,Матиса 101,2,44,5/6,Рекон.,91500
