Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-10-08,Иманта,Курземес пр. 94,3,64,6/9,602-я,66000
2025-10-08,центр,Бривибас 163,4,109,2/5,Дов. дом,180000
2025-10-08,Тейка,Кауказа 11,2,51,4/4,Нов.,161600
2025-10-08,Дзегужкалнс,Буллю 10-6,5,106,2/2,Дов. дом,48000
2025-10-08,центр,Валдемара 17,5,22,5/5,Рекон.,70000
2025-10-08,центр,Валдемара 17,3,73,3/5,Рекон.,199000
2025-10-08,Иманта,Курземес пр. 84,2,54,7/9,602-я,54000
2025-10-08,Агенскалнс,Алтонавас 9,4,90,1/2,Спец. пр.,40000
2025-10-08,центр,Бривибас 160A,3,60,5/5,Дов. дом,105000
2025-10-08,Даугавгрива,Парадес 7,2,46,5/5,103-я,33900
2025-10-08,центр,Элизабетес 22,4,93,5/6,Рекон.,265000
2025-10-08,Шампетерис-Плескодале,Лиелирбес 9a,2,45,3/4,Рекон.,103500
2025-10-08,центр,Дзирнаву 70,3,69,6/6,Дов. дом,175000
2025-10-08,Шампетерис-Плескодале,Лиелирбес 9a,1,32,1/4,Рекон.,76500
2025-10-08,Плявниеки,Земес 6,4,76,2/6,602-я,70000
2025-10-08,Агенскалнс,Лиелирбес 9a,1,32,1/4,Рекон.,76500
2025-10-08,центр,Дунтес 24,3,58,1/2,Дов. дом,31800
2025-10-08,центр,Валдемара 17A,3,71,3/5,Рекон.,179000
2025-10-08,Ильгюциемс,Балта 12,1,30,2/2,Дов. дом,13500
2025-10-08,Яунмилгравис,Эзера 29,1,25,2/2,Дов. дом,8500
2025-10-08,Саркандаугава,Алекша 4,2,31,2/2,Дов. дом,12900
2025-10-08,центр,Томсона 39/1,3,96,5/9,Нов.,250000
2025-10-08,центр,Валмиерас 28,3,90,3/5,Рекон.,180000
2025-10-08,центр,Валдемара 129,3,80,5/5,Сталинка,125000
2025-10-08,Гризинькалнс,Пернавас 58,1,26,3/3,Дов. дом,23999
2025-10-08,Агенскалнс,Лиелирбес 9A,2,45,3/4,Нов.,103500
2025-10-08,Плявниеки,Земес 37,1,41,6/9,М. сем.,37800
2025-10-08,Пурвциемс,Ницгалес 9,3,60,5/5,Лит. пр.,59000
2025-10-08,центр,Гертрудес 84,3,79,4/6,Дов. дом,128500
2025-10-08,Иманта,Имантас 2,3,54,1/5,Лит. пр.,48999
2025-10-08,Тейка,Кауказа 11,3,82,1/4,Нов.,263040
2025-10-08,Плявниеки,Рембатес 10,3,77,3/10,Нов.,157000
2025-10-08,Вецрига,Калею 14,2,65,4/5,Дов. дом,135000
2025-10-08,Пурвциемс,Мадонас 2,3,66,3/5,Нов.,126000
2025-10-08,Тейка,Кауказа 11,2,52,1/4,Нов.,165440
2025-10-08,центр,Гану 6,4,151,6/7,Дов. дом,370000
2025-10-08,Дарзциемс,Зелтиню 58,1,43,2/5,М. сем.,39500
2025-10-08,Зиепниеккалнс,Валдекю 60/1,3,62,5/9,602-я,70000
2025-10-08,Тейка,Кауказа 11,3,77,1/4,Нов.,245440
2025-10-08,центр,Базницас 7,1,166,6/6,Дов. дом,240000
2025-10-08,Золитуде,Эндзелина 32,3,80,3/5,Нов.,180000
2025-10-08,Плявниеки,Сахарова 5,2,50,4/9,602-я,59000
2025-10-08,Иманта,Курземес пр. 152,2,51,9/9,602-я,50000
2025-10-08,Зиепниеккалнс,Виенибас Г. 87,2,64,1/3,Рекон.,110000
2025-10-08,Иманта,Дубулту 23,2,49,1/5,Лит. пр.,54000
2025-10-08,Даугавгрива,Слимницас 11,2,53,4/5,103-я,47000
2025-10-08,центр,Элизабетес 67,2,55,3/6,Дов. дом,180000
2025-10-08,Зиепниеккалнс,Дигнаяс 4,3,73,3/3,Нов.,165000
2025-10-08,Чиекуркалнс,Чиекуркална 2 л. 26,1,38,4/5,Спец. пр.,39500
2025-10-08,Кенгарагс,Икшкилес 3,2,34,3/5,Хрущ.,35500
