Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-04-04,Золитуде,Ростокас 62,3,71,3/12,104-я,86000
2025-04-04,Югла,Бривибас 386,3,69,12/14,Нов.,130000
2025-04-04,Ильгюциемс,Дзирциема 31,1,36,10/12,Чеш. пр.,43000
2025-04-04,Пурвциемс,Виршу 5,3,77,8/9,119-я,71500
2025-04-04,центр,Валдемара 39,3,87,1/5,Дов. дом,119000
2025-04-04,центр,Лачплеша 104,2,52,2/3,Дов. дом,42900
2025-04-04,центр,Латгалес 153,1,20,4/5,Дов. дом,16000
2025-04-04,Югла,Квелес 29,2,46,4/5,Хрущ.,58000
2025-04-04,центр,Виландес 12,3,105,5/6,Рекон.,230000
2025-04-04,центр,Дзирнаву 62,5,134,4/5,Дов. дом,230000
2025-04-04,центр,Виландес 7,5,156,5/5,Рекон.,299000
2025-04-04,Пурвциемс,Дзелзавас 76/3,2,51,6/9,602-я,51500
2025-04-04,Дарзциемс,Какю 4,3,84,1/4,Нов.,125000
2025-04-04,Агенскалнс,Кристапа 8B,1,12,1/4,Хрущ.,16500
2025-04-04,центр,Спорта 3,4,237,4/5,Дов. дом,339500
2025-04-04,Кливерсала,Кугю 15,4,96,5/6,Нов.,350000
2025-04-04,центр,Антонияс 6a,3,67,2/5,Сталинка,174900
2025-04-04,Закюсала,Закюсалас наб. 27,3,70,2/3,Нов.,187000
2025-04-04,Саркандаугава,Твайка 54/3,2,43,5/5,Хрущ.,35000
2025-04-04,Пурвциемс,Илукстес 103,3,82,2/5,103-я,98000
2025-04-04,Пурвциемс,Илукстес 107,2,50,2/9,467-я,75000
2025-04-04,Вецмилгравис,Ринужу 11,2,52,1/5,103-я,29000
2025-04-04,центр,Гертрудес 65/2,3,60,2/7,Нов.,147000
2025-04-04,центр,Гертрудес 65/2,3,59,6/7,Нов.,158000
2025-04-04,Иманта,Курземес пр. 72,2,50,3/5,Лит. пр.,42500
2025-04-04,центр,Гертрудес 65/2,2,52,2/7,Нов.,125000
2025-04-04,Дарзциемс,Румбулас 18,3,66,5/5,103-я,95000
2025-04-04,Агенскалнс,Мелнсила 20,1,31,5/5,Хрущ.,39500
2025-04-04,Иманта,Лазду 53,3,99,1/1,Нов.,215000
2025-04-04,Плявниеки,Салнас 4,2,52,4/9,602-я,66000
2025-04-04,центр,Матиса 101,2,29,1/5,Рекон.,61500
2025-04-04,Зиепниеккалнс,Саулкалнес 5,2,43,4/4,Хрущ.,49700
2025-04-04,р-он,ул. Латгалес Даугавпилс 48,1,34,1/6,Дов. дом,55750
2025-04-04,Пурвциемс,Дзелзавас 23,2,51,2/9,602-я,63500
2025-04-04,Плявниеки,Сахарова 19,1,49,2/12,104-я,63000
2025-04-04,Агенскалнс,Зелмайшу 15,2,45,5/6,Нов.,132800
2025-04-04,Агенскалнс,Зелмайшу 15,4,87,3/5,Нов.,238000
2025-04-04,Агенскалнс,Зелмайшу 15,3,59,3/6,Нов.,168100
2025-04-04,Агенскалнс,Зелмайшу 15,2,46,4/6,Нов.,133700
2025-04-04,центр,Чака 45,3,57,3/3,Рекон.,85000
2025-04-04,центр,Валдемара 53,5,127,2/6,Дов. дом,180000
2025-04-04,Дрейлини,Каивас 48A,2,47,6/6,Нов.,127200
2025-04-04,р-он,ул. Латгалес М. Лубанас 17,1,29,1/2,Дов. дом,8980
2025-04-04,центр,Латгалес 108,6,133,1/3,Спец. пр.,43960
2025-04-04,центр,Латгалес 108,-,1000,1/3,Спец. пр.,164800
2025-04-04,Дрейлини,Каивас 48A,2,44,4/6,Нов.,116300
2025-04-04,Дрейлини,Каивас 48A,4,85,4/6,Нов.,214000
2025-04-04,Дрейлини,Каивас 48A,3,60,6/6,Нов.,160100
2025-04-04,Вецмилгравис,Эммас 5,3,73,3/5,Лит. пр.,59000
2025-04-04,Дрейлини,Каивас 48A,2,47,5/6,Нов.,121900
2025-04-04,р-он,ул. Латгалес Калупес 12,2,39,3/3,Дов. дом,42000
2025-04-04,центр,Заубес 9A,4,350,7/7,Нов.,490000
2025-04-04,центр,Антонияс 24,3,91,3/6,Дов. дом,197091
2025-04-04,центр,Антонияс 24,3,92,5/6,Дов. дом,200568
2025-04-04,Катлакалнс,Гулбью 1,1,28,1/2,Дов. дом,41953
2025-04-04,центр,Антонияс 24,3,110,2/6,Дов. дом,214370
2025-04-04,Зиепниеккалнс,Баускас 158,1,26,1/2,103-я,24070
2025-04-04,центр,Лачу 9,2,46,2/6,Дов. дом,84000
2025-04-04,Тейка,М. Ропажу 11,3,68,2/2,Дов. дом,100000
2025-04-04,Агенскалнс,Вилипа 8,3,60,3/9,467-я,67000
2025-04-04,центр,Гертрудес 22,4,89,2/6,Дов. дом,275000
2025-04-04,Кенгарагс,Латгалес 313,1,36,7/12,Чеш. пр.,32900
2025-04-04,Иманта,Лазду 53,3,99,1/1,Нов.,215000
2025-04-04,Зиепниеккалнс,Стерсту 15A,4,88,3/3,Нов.,199000
2025-04-04,Торнякалнс,Мукусалас 56,1,26,3/3,Рекон.,68300
2025-04-04,Торнякалнс,Апшу 4,3,40,1/3,Рекон.,84861
2025-04-04,Пурвциемс,Илукстес 109/3,2,48,3/9,467-я,55000
2025-04-04,Тейка,Бривибас 356,3,66,3/4,Сталинка,96000
2025-04-04,центр,Риепниеку 2,5,165,5/5,Сталинка,195000
2025-04-04,Болдерая,Стагару 4,2,52,5/5,М. сем.,28700
2025-04-04,Гризинькалнс,Алаукста 7,2,35,4/4,Рекон.,105000
2025-04-04,Саркандаугава,Аптиекас 8,2,37,1/5,Спец. пр.,39777
2025-04-04,Югла,Бривибас 281,3,81,2/5,Спец. пр.,78000
2025-04-04,Биерини,Лиепаяс 37,2,40,1/2,Дов. дом,42000
2025-04-04,Болдерая,Гобас 20,1,40,9/4,Спец. пр.,32000
2025-04-04,Межциемс,Эйзенштейна 65,2,50,9/9,602-я,54000
2025-04-04,Югла,Юглас 35,3,58,3/5,Хрущ.,55000
2025-04-04,Агенскалнс,Слокас 21,2,54,1/2,Рекон.,130000
2025-04-04,Зиепниеккалнс,Берзупес 13,2,47,5/5,Лит. пр.,42000
2025-04-04,Тейка,Ропажу 19,1,26,3/3,Дов. дом,39900
2025-04-04,Агенскалнс,Струтелес 4,2,33,2/2,Дов. дом,62500
2025-04-04,Дарзциемс,Ситас 2,2,55,5/5,103-я,44000
2025-04-04,р-он,ул. Латгалес Виляну 16,1,29,2/5,Рекон.,64500
2025-04-04,Кенгарагс,Прушу 1 k-1,2,44,5/5,Лит. пр.,55000
2025-04-04,Югла,Саламандрас 3,1,42,5/8,Спец. пр.,53500
2025-04-04,Кенгарагс,Крустпилс 46,2,47,2/2,Хрущ.,19000
2025-04-04,р-он,ул. Латгалес Даугавпилс 49,1,26,4/5,Дов. дом,24900
2025-04-04,Югла,Силциема 15,2,47,4/5,Лит. пр.,43000
2025-04-04,Агенскалнс,Ранькя Д. 31,3,81,2/4,Рекон.,121176
2025-04-04,Ильгюциемс,Лидоню 1,3,81,1/3,Сталинка,64500
2025-04-04,центр,Базницас 39,4,137,2/5,Дов. дом,505000
2025-04-04,Вецмилгравис,Рупницас 12,3,80,1/2,Сталинка,39800
2025-04-04,Закюсала,Закюсалас наб. 27,2,58,2/3,Нов.,158500
2025-04-04,Закюсала,Закюсалас наб. 27,1,35,2/3,Нов.,92500
2025-04-04,Закюсала,Закюсалас наб. 27,3,59,2/3,Нов.,165000
2025-04-04,Закюсала,Закюсалас наб. 27,2,40,2/3,Нов.,108000
2025-04-04,центр,Ганибу Д. 15,3,78,1/5,Дов. дом,73300
2025-04-04,Пурвциемс,Унияс 74,3,100,2/4,Нов.,200000
2025-04-04,Межциемс,Кайвас 50/3,2,54,4/5,Нов.,86000
2025-04-04,Межциемс,Кайвас 50/3,2,59,5/5,Нов.,94500
2025-04-04,центр,Висвалжа 7,2,64,2/7,Дов. дом,85000
2025-04-04,Плявниеки,Илукстес 14,3,106,1/3,Нов.,223000
2025-04-04,Ильгюциемс,Спилвес 15,2,50,4/5,Лит. пр.,42000
2025-04-04,Чиекуркалнс,Чиекуркална 5 п. л. 22,2,43,1/3,Дов. дом,46000
2025-04-04,Межциемс,Друвиенас 17,2,49,1/5,Лит. пр.,45000
2025-04-04,Агенскалнс,Ранькя Д. 34,3,113,6/22,Нов.,276000
2025-04-04,Агенскалнс,Ранькя Д. 34,3,95,6/22,Нов.,207000
2025-04-04,Агенскалнс,Ранькя Д. 34,3,102,10/22,Нов.,243000
2025-04-04,Вецрига,Калею 74,2,72,3/7,Нов.,164000
2025-04-04,Иманта,Ригондас Г. 10,1,36,6/9,602-я,48000
2025-04-04,центр,Стрелниеку 5,3,108,3/7,Нов.,510000
2025-04-04,Зиепниеккалнс,Ливциема 55,3,64,2/9,602-я,80000
2025-04-04,Плявниеки,Деглава 152 k-3,2,52,6/9,602-я,62900
2025-04-04,Закюсала,Закюсалас наб. 27,1,32,2/3,Нов.,89200
2025-04-04,Закюсала,Закюсалас наб. 27,1,28,2/3,Нов.,75200
2025-04-04,Иманта,Имантас 1 k-2,3,68,1/5,Лит. пр.,46950
2025-04-04,Пурвциемс,Пурвциема 20,2,61,9/9,119-я,76000
2025-04-04,Пурвциемс,Ницгалес 17,1,30,2/5,Лит. пр.,35500
2025-04-04,центр,Райня бульв. 9,3,144,6/6,Рекон.,399950
2025-04-04,центр,Гертрудес 91A,2,24,6/6,Дов. дом,13650
2025-04-04,центр,Виландес 7,5,156,5/5,Дов. дом,299000
2025-04-04,Плявниеки,Руденс 9,2,51,1/9,602-я,49500
2025-04-04,центр,Заубес 9,4,350,7/7,Нов.,490000
2025-04-04,центр,Валдемара 72/2,3,60,1/5,Дов. дом,153000
2025-04-04,р-он,ул. Латгалес Латгалес 146,1,20,4/4,Нов.,43000
