Date,District,Street,Rooms,m2,Floor,Serie,Price
2025-02-03,Иманта,Имантас 1 л. 1,2,50,5/5,Лит. пр.,49500
2025-02-03,р-н,ул.Краста Балву 3,1,19,3/4,Спец. пр.,9670
2025-02-03,центр,Латгалес 108,3,57,1/2,Спец. пр.,21680
2025-02-03,р-н,ул.Краста Латгалес 108,3,57,1/2,Спец. пр.,21670
2025-02-03,центр,Марияс 14A,2,28,6/6,Рекон.,93400
2025-02-03,Кенгарагс,Каниера 14,1,31,9/11,М. сем.,37000
2025-02-03,Плявниеки,Каудзишу 46,4,110,2/9,602-я,120000
2025-02-03,Кенгарагс,Крустпилс 75,1,18,2/2,Спец. пр.,7980
2025-02-03,Агенскалнс,Лиепаяс 40 k12,3,70,1/4,Спец. пр.,54780
2025-02-03,центр,Латгалес 108,-,400,1/3,Ч. дом,117900
2025-02-03,р-н,ул.Краста Латгалес 219,1,22,2/2,Дов. дом,5580
2025-02-03,р-он,ул. Латгалес Балву 3,1,19,3/4,Дов. дом,9570
2025-02-03,Пурвциемс,Дзелзавас 106,2,44,6/7,Нов.,101000
2025-02-03,Вецмилгравис,Мелидас 3 k-2,3,55,5/5,Лит. пр.,57900
2025-02-03,Межциемс,Бикерниеку 160,2,55,5/5,Нов.,125000
2025-02-03,центр,Госпиталю 3,1,24,1/5,Дов. дом,33000
2025-02-03,Мангальсала,Албатросу 24,4,90,5/5,Спец. пр.,79000
2025-02-03,Вецмилгравис,Милдас 11,3,57,1/2,Сталинка,30000
2025-02-03,Пурвциемс,Дзелзавас 35,2,48,1/9,602-я,41000
2025-02-03,Пурвциемс,Илукстес 101,2,46,5/5,103-я,48000
2025-02-03,Вецмилгравис,Вецмилгравья 1 л. 28,2,39,5/5,Лит. пр.,27500
2025-02-03,центр,Чака 104,3,55,3/5,Дов. дом,109000
2025-02-03,центр,Акас 2,3,63,4/4,Дов. дом,135000
2025-02-03,Тейка,Бривибас 338,3,80,2/8,Нов.,145000
2025-02-03,Зиепниеккалнс,Брукнас 12,3,77,9/10,119-я,89900
2025-02-03,Чиекуркалнс,Эзермалас 4,2,35,3/5,Рекон.,47610
2025-02-03,центр,Антонияс 24,3,91,3/6,Дов. дом,197091
2025-02-03,Кенгарагс,Е. Ранцана 8,2,49,2/5,Лит. пр.,49000
2025-02-03,центр,Лугажу 6,2,47,3/5,Лит. пр.,48000
2025-02-03,Пурвциемс,Дзелзавас 67,2,49,4/9,467-я,50000
2025-02-03,центр,Аугшиела 8,2,30,5/6,Рекон.,48950
2025-02-03,центр,Аугшиела 8,2,33,3/6,Рекон.,56750
2025-02-03,Тейка,Бривибас 201,2,38,2/5,Нов.,76500
2025-02-03,Чиекуркалнс,Вискалю 18,2,50,3/3,Сталинка,27000
2025-02-03,центр,Блауманя 3,2,88,3/6,Рекон.,230000
2025-02-03,Плявниеки,Ясмуйжас 18 K1,3,92,9/9,Нов.,165000
